Date,Component,Concentration,Uncertainty,Uncertainty_Ratio
2000-12-14T00:00:00Z,PM2.5,13.5,1.35,0.1
2000-12-14T00:00:00Z,Aluminum,0.00419,0.01676,4
2000-12-14T00:00:00Z,Ammonium Ion,1.685,6.74,4
2000-12-14T00:00:00Z,Arsenic,9.8e-4,0.00392,4
2000-12-14T00:00:00Z,Barium,0.0068,0.0272,4
2000-12-14T00:00:00Z,Bromine,0.00367,0.01468,4
2000-12-14T00:00:00Z,Calcium,0.03575,0.143,4
2000-12-14T00:00:00Z,Chlorine,0.002635,0.01054,4
2000-12-14T00:00:00Z,Chromium,5.2e-4,0.00208,4
2000-12-14T00:00:00Z,Copper,0.002815,0.01126,4
2000-12-14T00:00:00Z,Elemental Carbon,0.645,2.58,4
2000-12-14T00:00:00Z,Iron,0.0815,0.326,4
2000-12-14T00:00:00Z,Lead,0.00432,0.01728,4
2000-12-14T00:00:00Z,Manganese,0.00198,0.00792,4
2000-12-14T00:00:00Z,Nickel,0.00128,0.00512,4
2000-12-14T00:00:00Z,Organic Carbon,4.22,16.88,4
2000-12-14T00:00:00Z,OM,5.908,23.632,4
2000-12-14T00:00:00Z,Potassium Ion,0.0572,0.2288,4
2000-12-14T00:00:00Z,Selenium,0.00137,0.00548,4
2000-12-14T00:00:00Z,Silicon,0.05225,0.209,4
2000-12-14T00:00:00Z,Sodium Ion,0.0881,0.3524,4
2000-12-14T00:00:00Z,Sulfate,3.76,15.04,4
2000-12-14T00:00:00Z,Titanium,0.00365,0.0146,4
2000-12-14T00:00:00Z,Total Nitrate,1.27,5.08,4
2000-12-14T00:00:00Z,Vanadium,0.00233,0.00932,4
2000-12-14T00:00:00Z,Zinc,0.01335,0.0534,4
2000-12-20T00:00:00Z,PM2.5,16.9,1.69,0.1
2000-12-20T00:00:00Z,Aluminum,0.0125,0.020833333,1.6666666399999999
2000-12-20T00:00:00Z,Ammonium Ion,2.21,0.122044606,0.0552238036199095
2000-12-20T00:00:00Z,Arsenic,0.0019,0.003166667,1.6666668421052633
2000-12-20T00:00:00Z,Barium,0.0445,0.074166667,1.6666666741573035
2000-12-20T00:00:00Z,Bromine,0.00452,0.001189237,0.26310553097345135
2000-12-20T00:00:00Z,Calcium,0.0447,0.01199169,0.2682704697986577
2000-12-20T00:00:00Z,Chlorine,0.0399,0.062409054,1.5641366917293233
2000-12-20T00:00:00Z,Chromium,0.0013,0.002166667,1.6666669230769233
2000-12-20T00:00:00Z,Copper,0.00529,0.001689208,0.3193209829867675
2000-12-20T00:00:00Z,Elemental Carbon,0.508,0.109558463,0.2156662657480315
2000-12-20T00:00:00Z,Iron,0.0724,0.011236359,0.15519832872928174
2000-12-20T00:00:00Z,Lead,0.00445,0.007416667,1.6666667415730336
2000-12-20T00:00:00Z,Manganese,0.00175,0.002916667,1.6666668571428571
2000-12-20T00:00:00Z,Nickel,9.5e-4,0.001583333,1.6666663157894737
2000-12-20T00:00:00Z,Organic Carbon,5.67,0.552114707,0.0973747278659612
2000-12-20T00:00:00Z,OM,7.938,0.772960589,0.09737472776518015
2000-12-20T00:00:00Z,Potassium Ion,0.0462,0.020976189,0.4540300649350649
2000-12-20T00:00:00Z,Selenium,0.00433,0.001350485,0.31189030023094694
2000-12-20T00:00:00Z,Silicon,0.0924,0.020630502,0.22327383116883115
2000-12-20T00:00:00Z,Sodium Ion,0.135,0.052706441,0.39041808148148144
2000-12-20T00:00:00Z,Sulfate,4.18,0.19670888,0.047059540669856466
2000-12-20T00:00:00Z,Titanium,0.00265,0.004416667,1.6666667924528302
2000-12-20T00:00:00Z,Total Nitrate,3.36,0.124187464,0.03696055476190476
2000-12-20T00:00:00Z,Vanadium,0.0019,0.003166667,1.6666668421052633
2000-12-20T00:00:00Z,Zinc,0.0237,0.002387392,0.10073383966244726
2000-12-26T00:00:00Z,PM2.5,10.1,1.01,0.1
2000-12-26T00:00:00Z,Aluminum,0.0125,0.020833333,1.6666666399999999
2000-12-26T00:00:00Z,Ammonium Ion,1.16,0.077772976,0.06704566896551724
2000-12-26T00:00:00Z,Arsenic,0.0019,0.003166667,1.6666668421052633
2000-12-26T00:00:00Z,Barium,0.0445,0.074166667,1.6666666741573035
2000-12-26T00:00:00Z,Bromine,0.00343,0.001168564,0.34068921282798836
2000-12-26T00:00:00Z,Calcium,0.0223,0.010791133,0.48390730941704035
2000-12-26T00:00:00Z,Chlorine,0.0219,0.062246417,2.8423021461187217
2000-12-26T00:00:00Z,Chromium,0.0013,0.002166667,1.6666669230769233
2000-12-26T00:00:00Z,Copper,0.0013,0.002166667,1.6666669230769233
2000-12-26T00:00:00Z,Elemental Carbon,0.253,0.105129384,0.41553116205533597
2000-12-26T00:00:00Z,Iron,0.0315,0.010533638,0.33440120634920634
2000-12-26T00:00:00Z,Lead,0.00445,0.007416667,1.6666667415730336
2000-12-26T00:00:00Z,Manganese,0.00175,0.002916667,1.6666668571428571
2000-12-26T00:00:00Z,Nickel,9.5e-4,0.001583333,1.6666663157894737
2000-12-26T00:00:00Z,Organic Carbon,4.49,0.449390405,0.10008694988864142
2000-12-26T00:00:00Z,OM,6.286,0.629146566,0.10008694972955774
2000-12-26T00:00:00Z,Potassium Ion,0.0298,0.020830102,0.698996711409396
2000-12-26T00:00:00Z,Selenium,0.0017,0.002833333,1.6666664705882352
2000-12-26T00:00:00Z,Silicon,0.0372,0.018816971,0.5058325537634408
2000-12-26T00:00:00Z,Sodium Ion,0.0609,0.033164701,0.5445763711001641
2000-12-26T00:00:00Z,Sulfate,2.08,0.13289388,0.06389128846153845
2000-12-26T00:00:00Z,Titanium,0.00265,0.004416667,1.6666667924528302
2000-12-26T00:00:00Z,Total Nitrate,2.28,0.099701786,0.04372885350877193
2000-12-26T00:00:00Z,Vanadium,0.0019,0.003166667,1.6666668421052633
2000-12-26T00:00:00Z,Zinc,0.0176,0.002251625,0.12793323863636363
2001-01-01T00:00:00Z,PM2.5,6.6,0.66,0.1
2001-01-01T00:00:00Z,Aluminum,0.0125,0.020833333,1.6666666399999999
2001-01-01T00:00:00Z,Ammonium Ion,1.39,0.086688441,0.062365784892086336
2001-01-01T00:00:00Z,Arsenic,0.0019,0.003166667,1.6666668421052633
2001-01-01T00:00:00Z,Barium,0.0445,0.074166667,1.6666666741573035
2001-01-01T00:00:00Z,Bromine,0.0016,0.002666667,1.666666875
2001-01-01T00:00:00Z,Calcium,0.0103,0.010455569,1.015103786407767
2001-01-01T00:00:00Z,Chlorine,0.0075,0.0125,1.6666666666666667
2001-01-01T00:00:00Z,Chromium,0.0013,0.002166667,1.6666669230769233
2001-01-01T00:00:00Z,Copper,0.00331,0.001608528,0.48596012084592144
2001-01-01T00:00:00Z,Elemental Carbon,0.418,0.107678647,0.2576044186602871
2001-01-01T00:00:00Z,Iron,0.0206,0.010436145,0.5066089805825243
2001-01-01T00:00:00Z,Lead,0.00445,0.007416667,1.6666667415730336
2001-01-01T00:00:00Z,Manganese,0.00175,0.002916667,1.6666668571428571
2001-01-01T00:00:00Z,Nickel,9.5e-4,0.001583333,1.6666663157894737
2001-01-01T00:00:00Z,Organic Carbon,3.38,0.3627971,0.1073364201183432
2001-01-01T00:00:00Z,OM,4.732,0.507915941,0.10733642032967033
2001-01-01T00:00:00Z,Potassium Ion,0.0658,0.021231038,0.32266015197568393
2001-01-01T00:00:00Z,Selenium,0.0017,0.002833333,1.6666664705882352
2001-01-01T00:00:00Z,Silicon,0.0205,0.018559162,0.9053249756097561
2001-01-01T00:00:00Z,Sodium Ion,0.0481,0.03063678,0.6369392931392932
2001-01-01T00:00:00Z,Sulfate,2.67,0.148811234,0.055734544569288384
2001-01-01T00:00:00Z,Titanium,0.00265,0.004416667,1.6666667924528302
2001-01-01T00:00:00Z,Total Nitrate,2.08,0.095685141,0.046002471634615384
2001-01-01T00:00:00Z,Vanadium,0.0019,0.003166667,1.6666668421052633
2001-01-01T00:00:00Z,Zinc,0.00465,0.002085539,0.4485030107526882
2001-01-07T00:00:00Z,PM2.5,35.1,3.51,0.09999999999999999
2001-01-07T00:00:00Z,Aluminum,0.00419,0.01676,4
2001-01-07T00:00:00Z,Ammonium Ion,1.685,6.74,4
2001-01-07T00:00:00Z,Arsenic,9.8e-4,0.00392,4
2001-01-07T00:00:00Z,Barium,0.0068,0.0272,4
2001-01-07T00:00:00Z,Bromine,0.00367,0.01468,4
2001-01-07T00:00:00Z,Calcium,0.03575,0.143,4
2001-01-07T00:00:00Z,Chlorine,0.002635,0.01054,4
2001-01-07T00:00:00Z,Chromium,5.2e-4,0.00208,4
2001-01-07T00:00:00Z,Copper,0.002815,0.01126,4
2001-01-07T00:00:00Z,Elemental Carbon,0.645,2.58,4
2001-01-07T00:00:00Z,Iron,0.0815,0.326,4
2001-01-07T00:00:00Z,Lead,0.00432,0.01728,4
2001-01-07T00:00:00Z,Manganese,0.00198,0.00792,4
2001-01-07T00:00:00Z,Nickel,0.00128,0.00512,4
2001-01-07T00:00:00Z,Organic Carbon,4.22,16.88,4
2001-01-07T00:00:00Z,OM,5.908,23.632,4
2001-01-07T00:00:00Z,Potassium Ion,0.0572,0.2288,4
2001-01-07T00:00:00Z,Selenium,0.00137,0.00548,4
2001-01-07T00:00:00Z,Silicon,0.05225,0.209,4
2001-01-07T00:00:00Z,Sodium Ion,0.0881,0.3524,4
2001-01-07T00:00:00Z,Sulfate,3.76,15.04,4
2001-01-07T00:00:00Z,Titanium,0.00365,0.0146,4
2001-01-07T00:00:00Z,Total Nitrate,1.27,5.08,4
2001-01-07T00:00:00Z,Vanadium,0.00233,0.00932,4
2001-01-07T00:00:00Z,Zinc,0.01335,0.0534,4
2001-01-13T00:00:00Z,PM2.5,45.4,4.54,0.1
2001-01-13T00:00:00Z,Aluminum,0.0125,0.020833333,1.6666666399999999
2001-01-13T00:00:00Z,Ammonium Ion,5.25,0.267564732,0.05096471085714286
2001-01-13T00:00:00Z,Arsenic,0.0019,0.003166667,1.6666668421052633
2001-01-13T00:00:00Z,Barium,0.0445,0.074166667,1.6666666741573035
2001-01-13T00:00:00Z,Bromine,0.0122,0.001461707,0.11981204918032787
2001-01-13T00:00:00Z,Calcium,0.0681,0.01385301,0.20342158590308373
2001-01-13T00:00:00Z,Chlorine,0.423,0.084420712,0.1995761513002364
2001-01-13T00:00:00Z,Chromium,0.0013,0.002166667,1.6666669230769233
