Date,Species,Concentration,Uncertainty,Uncertainty_Ratio
2000-12-14,PM2.5,13.50000,1.35000,0.10000
2000-12-20,PM2.5,16.90000,1.69000,0.10000
2000-12-26,PM2.5,10.10000,1.01000,0.10000
2001-01-01,PM2.5,6.60000,0.66000,0.10000
2001-01-07,PM2.5,35.10000,3.51000,0.10000
2001-01-13,PM2.5,45.40000,4.54000,0.10000
2001-01-19,PM2.5,13.50000,1.35000,0.10000
2001-01-25,PM2.5,63.70000,6.37000,0.10000
2001-01-31,PM2.5,15.50000,1.55000,0.10000
2001-02-03,PM2.5,18.50000,1.85000,0.10000
2001-02-06,PM2.5,16.60000,1.66000,0.10000
2001-02-09,PM2.5,25.50000,2.55000,0.10000
2001-02-13,PM2.5,27.10000,2.71000,0.10000
2001-02-15,PM2.5,13.80000,1.38000,0.10000
2001-02-18,PM2.5,10.30000,1.03000,0.10000
2001-02-21,PM2.5,13.50000,1.35000,0.10000
2001-02-24,PM2.5,17.10000,1.71000,0.10000
2001-02-27,PM2.5,19.20000,1.92000,0.10000
2001-03-02,PM2.5,11.20000,1.12000,0.10000
2001-03-06,PM2.5,5.40000,0.54000,0.10000
2001-03-08,PM2.5,16.90000,1.69000,0.10000
2001-03-11,PM2.5,19.60000,1.96000,0.10000
2001-03-14,PM2.5,8.50000,0.85000,0.10000
2001-03-17,PM2.5,20.10000,2.01000,0.10000
2001-03-20,PM2.5,6.90000,0.69000,0.10000
2001-03-23,PM2.5,8.90000,0.89000,0.10000
2001-03-26,PM2.5,9.00000,0.90000,0.10000
2001-03-29,PM2.5,17.10000,1.71000,0.10000
2001-04-01,PM2.5,19.20000,1.92000,0.10000
2001-04-04,PM2.5,9.70000,0.97000,0.10000
2001-04-07,PM2.5,23.40000,2.34000,0.10000
2001-04-10,PM2.5,11.70000,1.17000,0.10000
2001-04-13,PM2.5,13.60000,1.36000,0.10000
2001-04-16,PM2.5,10.20000,1.02000,0.10000
2001-04-19,PM2.5,8.90000,0.89000,0.10000
2001-04-22,PM2.5,22.50000,2.25000,0.10000
2001-04-25,PM2.5,7.60000,0.76000,0.10000
2001-04-28,PM2.5,8.30000,0.83000,0.10000
2001-05-01,PM2.5,20.10000,2.01000,0.10000
2001-05-07,PM2.5,5.50000,0.55000,0.10000
2001-05-10,PM2.5,21.20000,2.12000,0.10000
2001-05-13,PM2.5,7.00000,0.70000,0.10000
2001-05-16,PM2.5,6.30000,0.63000,0.10000
2001-05-19,PM2.5,24.60000,2.46000,0.10000
2001-05-22,PM2.5,10.10000,1.01000,0.10000
