date,species,concentration,uncertainty,uncertainty_ratio
2000-12-14,pm2.5,2.674149,0.854415,0.319509
2000-12-20,pm2.5,2.884801,0.989541,0.343019
2000-12-26,pm2.5,2.406945,0.698135,0.29005
2001-01-01,pm2.5,2.028148,0.506818,0.249892
2001-01-07,pm2.5,3.586293,1.506297,0.420015
2001-01-13,pm2.5,3.837299,1.711995,0.446146
2001-01-19,pm2.5,2.674149,0.854415,0.319509
2001-01-25,pm2.5,4.169761,1.997418,0.479024
2001-01-31,pm2.5,2.80336,0.936093,0.333918
2001-02-03,pm2.5,2.970414,1.047319,0.352583
2001-02-06,pm2.5,2.867899,0.978326,0.34113
2001-02-09,pm2.5,3.277145,1.266948,0.386601
2001-02-13,pm2.5,3.33577,1.311032,0.393022
2001-02-15,pm2.5,2.694627,0.8671,0.321789
2001-02-18,pm2.5,2.424803,0.708036,0.291997
2001-02-21,pm2.5,2.674149,0.854415,0.319509
2001-02-24,pm2.5,2.895912,0.996949,0.344261
2001-02-27,pm2.5,3.005683,1.071584,0.356519
2001-03-02,pm2.5,2.501436,0.751416,0.300394
2001-03-06,pm2.5,1.856298,0.431782,0.232604
2001-03-08,pm2.5,2.884801,0.989541,0.343019
2001-03-11,pm2.5,3.025291,1.085189,0.358706
2001-03-14,pm2.5,2.251292,0.615186,0.273259
2001-03-17,pm2.5,3.049273,1.10194,0.361378
2001-03-20,pm2.5,2.066863,0.524729,0.253877
2001-03-23,pm2.5,2.292535,0.636577,0.277674
2001-03-26,pm2.5,2.302585,0.641854,0.278754
2001-03-29,pm2.5,2.895912,0.996949,0.344261
2001-04-01,pm2.5,3.005683,1.071584,0.356519
2001-04-04,pm2.5,2.370244,0.678034,0.286061
2001-04-07,pm2.5,3.194583,1.205971,0.377505
2001-04-10,pm2.5,2.541602,0.774727,0.304818
2001-04-13,pm2.5,2.681022,0.858662,0.320274
2001-04-16,pm2.5,2.415914,0.703098,0.291028
2001-04-19,pm2.5,2.292535,0.636577,0.277674
2001-04-22,pm2.5,3.157,1.178655,0.373346
2001-04-25,pm2.5,2.151762,0.565314,0.262721
2001-04-28,pm2.5,2.230014,0.604316,0.270992
2001-05-01,pm2.5,3.049273,1.10194,0.361378
2001-05-07,pm2.5,1.871802,0.438255,0.234135
2001-05-10,pm2.5,3.100092,1.137833,0.367032
2001-05-13,pm2.5,2.079442,0.530628,0.255178
2001-05-16,pm2.5,1.987874,0.48858,0.24578
2001-05-19,pm2.5,3.242592,1.241269,0.382801
2001-05-22,pm2.5,2.406945,0.698135,0.29005
2001-05-25,pm2.5,2.70805,0.875469,0.323284
2001-05-31,pm2.5,1.84055,0.425268,0.231055
2001-06-03,pm2.5,2.388763,0.688135,0.288072
2001-06-06,pm2.5,2.674149,0.854415,0.319509
2001-06-09,pm2.5,2.74084,0.896088,0.326939
2001-06-12,pm2.5,3.718438,1.61343,0.4339
2001-06-18,pm2.5,3.020425,1.081805,0.358163
2001-06-21,pm2.5,2.674149,0.854415,0.319509
2001-06-24,pm2.5,2.24071,0.609766,0.272131
2001-06-27,pm2.5,3.569533,1.492904,0.418235
2001-06-30,pm2.5,3.608212,1.52388,0.422337
2001-07-03,pm2.5,2.785011,0.924259,0.331869
2001-07-06,pm2.5,1.88707,0.444686,0.235649
2001-07-12,pm2.5,2.572612,0.792993,0.308244
2001-07-15,pm2.5,2.653242,0.841567,0.317184
2001-07-18,pm2.5,3.456317,1.403643,0.406109
2001-07-21,pm2.5,2.639057,0.832909,0.315609
2001-07-24,pm2.5,2.595255,0.806476,0.31075
2001-07-30,pm2.5,2.028148,0.506818,0.249892
2001-08-02,pm2.5,2.617396,0.81978,0.313204
2001-08-04,pm2.5,2.985682,1.05779,0.354288
2001-08-08,pm2.5,3.811097,1.690096,0.443467
2001-08-11,pm2.5,2.734368,0.891998,0.326217
2001-08-14,pm2.5,3.144152,1.169381,0.371923
2001-08-17,pm2.5,3.339322,1.313724,0.39341
2001-08-23,pm2.5,3.280911,1.269761,0.387015
2001-08-26,pm2.5,2.674149,0.854415,0.319509
2001-08-29,pm2.5,3.091042,1.131402,0.366026
2001-09-01,pm2.5,2.272126,0.625938,0.275486
2001-09-04,pm2.5,3.152736,1.175573,0.372874
2001-09-10,pm2.5,2.251292,0.615186,0.273259
2001-09-13,pm2.5,3.00072,1.068153,0.355966
2001-09-16,pm2.5,2.104134,0.542324,0.257742
2001-09-19,pm2.5,2.917771,1.011601,0.346703
2001-09-22,pm2.5,3.091042,1.131402,0.366026
2001-09-25,pm2.5,1.648659,0.350657,0.212692
2001-09-28,pm2.5,2.014903,0.500775,0.248536
2001-10-04,pm2.5,3.325036,1.302913,0.391849
2001-10-07,pm2.5,1.791759,0.405465,0.226294
2001-10-10,pm2.5,2.322388,0.652325,0.280886
2001-10-13,pm2.5,2.944439,1.029619,0.349683
2001-10-16,pm2.5,2.674149,0.854415,0.319509
2001-10-20,pm2.5,2.99072,1.061257,0.35485
2001-10-25,pm2.5,2.351375,0.667829,0.284017
2001-10-28,pm2.5,2.014903,0.500775,0.248536
2001-10-31,pm2.5,2.282382,0.631272,0.276585
2001-11-03,pm2.5,2.322388,0.652325,0.280886
2001-11-06,pm2.5,1.931521,0.463734,0.240087
2001-11-09,pm2.5,2.186051,0.582216,0.266332
2001-11-15,pm2.5,3.602777,1.519513,0.421762
2001-11-18,pm2.5,3.034953,1.091923,0.359783
2001-11-21,pm2.5,2.186051,0.582216,0.266332
2001-11-24,pm2.5,2.493205,0.746688,0.299489
2001-11-27,pm2.5,3.144152,1.169381,0.371923
2001-12-03,pm2.5,3.198673,1.20896,0.377957
2001-12-06,pm2.5,3.126761,1.156881,0.369994
2001-12-09,pm2.5,2.197225,0.587787,0.267513
2001-12-12,pm2.5,2.928524,1.018847,0.347905
2001-12-15,pm2.5,1.722767,0.378436,0.219668
2001-12-27,pm2.5,2.639057,0.832909,0.315609
2001-12-30,pm2.5,2.116256,0.548121,0.259005
2002-01-02,pm2.5,2.827314,0.951658,0.336594
2002-01-05,pm2.5,3.152736,1.175573,0.372874
2002-01-08,pm2.5,3.478158,1.420696,0.408462
2002-01-09,pm2.5,3.100092,1.137833,0.367032
2002-01-11,pm2.5,2.734368,0.891998,0.326217
2002-01-12,pm2.5,2.587764,0.802002,0.309921
2002-01-13,pm2.5,2.104134,0.542324,0.257742
2002-01-14,pm2.5,2.564949,0.788457,0.307397
2002-01-15,pm2.5,2.587764,0.802002,0.309921
2002-01-16,pm2.5,2.493205,0.746688,0.299489
2002-01-17,pm2.5,2.595255,0.806476,0.31075
2002-01-20,pm2.5,3.131137,1.160021,0.370479
2002-01-23,pm2.5,2.484907,0.741937,0.298578
2002-01-26,pm2.5,2.66026,0.845868,0.317965
2002-01-29,pm2.5,3.218876,1.223775,0.380187
2002-02-01,pm2.5,1.808289,0.41211,0.2279
2002-02-02,pm2.5,1.974081,0.482426,0.24438
2002-02-03,pm2.5,3.00072,1.068153,0.355966
2002-02-04,pm2.5,2.397895,0.693147,0.289065
2002-02-05,pm2.5,1.704748,0.371564,0.217958
2002-02-06,pm2.5,2.60269,0.81093,0.311574
2002-02-07,pm2.5,2.965273,1.043804,0.352009
2002-02-08,pm2.5,3.404525,1.363537,0.400507
2002-02-09,pm2.5,3.113515,1.147402,0.368523
2002-02-10,pm2.5,2.484907,0.741937,0.298578
2002-02-11,pm2.5,2.00148,0.494696,0.247165
2002-02-12,pm2.5,2.687847,0.86289,0.321034
2002-02-13,pm2.5,1.902108,0.451076,0.237145
2002-02-14,pm2.5,2.406945,0.698135,0.29005
2002-02-15,pm2.5,2.525729,0.765468,0.303068
2002-02-16,pm2.5,2.890372,0.993252,0.343642
2002-02-17,pm2.5,1.757858,0.392042,0.223023
2002-02-18,pm2.5,2.186051,0.582216,0.266332
2002-02-19,pm2.5,3.025291,1.085189,0.358706
2002-02-20,pm2.5,2.714695,0.879627,0.324024
2002-02-21,pm2.5,2.406945,0.698135,0.29005
2002-02-22,pm2.5,2.208274,0.593327,0.268683
2002-02-23,pm2.5,2.653242,0.841567,0.317184
2002-02-24,pm2.5,2.674149,0.854415,0.319509
2002-02-25,pm2.5,3.025291,1.085189,0.358706
2002-02-26,pm2.5,2.873565,0.982078,0.341763
2002-02-27,pm2.5,2.674149,0.854415,0.319509
2002-02-28,pm2.5,2.379546,0.683097,0.28707
2002-03-01,pm2.5,2.734368,0.891998,0.326217
2002-03-02,pm2.5,2.785011,0.924259,0.331869
2002-03-03,pm2.5,1.974081,0.482426,0.24438
2002-03-15,pm2.5,3.113515,1.147402,0.368523
2002-03-21,pm2.5,2.493205,0.746688,0.299489
2002-03-24,pm2.5,2.564949,0.788457,0.307397
2002-03-27,pm2.5,2.360854,0.672944,0.285043
2002-03-30,pm2.5,2.631889,0.828552,0.314813
2002-04-02,pm2.5,2.631889,0.828552,0.314813
2002-04-08,pm2.5,2.681022,0.858662,0.320274
2002-04-11,pm2.5,2.24071,0.609766,0.272131
2002-04-14,pm2.5,2.197225,0.587787,0.267513
2002-04-17,pm2.5,2.674149,0.854415,0.319509
2002-04-23,pm2.5,2.674149,0.854415,0.319509
2002-04-26,pm2.5,2.322388,0.652325,0.280886
2002-05-02,pm2.5,2.867899,0.978326,0.34113
2002-05-08,pm2.5,2.272126,0.625938,0.275486
2002-05-11,pm2.5,2.370244,0.678034,0.286061
2002-05-20,pm2.5,2.091864,0.536493,0.256467
2002-05-23,pm2.5,2.694627,0.8671,0.321789
2002-05-26,pm2.5,3.135494,1.163151,0.370963
2002-06-01,pm2.5,2.791165,0.928219,0.332556
2002-06-04,pm2.5,2.674149,0.854415,0.319509
2002-06-07,pm2.5,1.722767,0.378436,0.219668
2002-06-13,pm2.5,2.753661,0.904218,0.328369
2002-06-16,pm2.5,2.694627,0.8671,0.321789
2002-06-19,pm2.5,3.091042,1.131402,0.366026
2002-06-22,pm2.5,2.839078,0.95935,0.337909
2002-07-01,pm2.5,3.139833,1.166271,0.371444
2002-07-02,pm2.5,3.921973,1.783391,0.454718
2002-07-03,pm2.5,3.871201,1.740466,0.449593
2002-07-04,pm2.5,3.449988,1.398717,0.405427
2002-07-05,pm2.5,2.76001,0.908259,0.329078
2002-07-06,pm2.5,3.214868,1.22083,0.379745
2002-07-07,pm2.5,4.347694,2.155245,0.495721
2002-07-08,pm2.5,4.060443,1.902108,0.468448
2002-07-09,pm2.5,3.725693,1.619388,0.434654
2002-07-10,pm2.5,3.095578,1.134623,0.36653
2002-07-11,pm2.5,1.609438,0.336472,0.209062
2002-07-12,pm2.5,2.493205,0.746688,0.299489
2002-07-13,pm2.5,2.322388,0.652325,0.280886
2002-07-14,pm2.5,2.04122,0.512824,0.251234
2002-07-15,pm2.5,3.005683,1.071584,0.356519
2002-07-16,pm2.5,3.131137,1.160021,0.370479
2002-07-17,pm2.5,2.933857,1.022451,0.348501
2002-07-18,pm2.5,3.885679,1.752672,0.451059
2002-07-19,pm2.5,3.852273,1.724551,0.447671
2002-07-20,pm2.5,3.346389,1.319086,0.394182
2002-07-21,pm2.5,3.261935,1.255616,0.38493
2002-07-22,pm2.5,3.325036,1.302913,0.391849
2002-07-23,pm2.5,2.879198,0.985817,0.342393
2002-07-24,pm2.5,2.60269,0.81093,0.311574
2002-07-25,pm2.5,1.88707,0.444686,0.235649
2002-07-26,pm2.5,1.808289,0.41211,0.2279
2002-07-27,pm2.5,3.00072,1.068153,0.355966
2002-07-28,pm2.5,3.077312,1.121678,0.364499
2002-07-29,pm2.5,3.169686,1.187843,0.374751
2002-07-30,pm2.5,2.895912,0.996949,0.344261
2002-07-31,pm2.5,2.970414,1.047319,0.352583
2002-08-18,pm2.5,2.97553,1.050822,0.353154
2002-08-21,pm2.5,2.747271,0.900161,0.327657
2002-08-24,pm2.5,2.985682,1.05779,0.354288
2002-08-27,pm2.5,3.030134,1.088562,0.359246
2002-09-02,pm2.5,2.322388,0.652325,0.280886
2002-09-05,pm2.5,2.424803,0.708036,0.291997
2002-09-08,pm2.5,2.451005,0.722706,0.294861
2002-09-11,pm2.5,2.572612,0.792993,0.308244
2002-09-14,pm2.5,2.923162,1.015231,0.347306
2002-09-17,pm2.5,3.273364,1.264127,0.386186
