date,species,concentration,uncertainty,uncertainty_ratio_raw,concentration_log
2001-06-22T00:00:00.000000,cadmium,0.00254,0.001449,0.570472,0.002537
2001-06-22T01:00:00.000000,cadmium,0.00248,0.000969,0.390726,0.002477
2001-06-22T02:00:00.000000,cadmium,0.00164,0.000789,0.481098,0.001639
2001-06-22T03:00:00.000000,cadmium,0.00238,0.000789,0.331513,0.002377
2001-06-22T04:00:00.000000,cadmium,0.00107,0.000669,0.625234,0.001069
2001-06-22T05:00:00.000000,cadmium,0.00042,0.000879,2.092857,0.00042
2001-06-22T06:00:00.000000,cadmium,0.00038,0.000519,1.365789,0.00038
2001-06-22T07:00:00.000000,cadmium,0.00023,0.000969,4.213043,0.00023
2001-06-22T08:00:00.000000,cadmium,0.00041,0.000549,1.339024,0.00041
2001-06-22T11:00:00.000000,cadmium,0.00018,0.000429,2.383333,0.00018
2001-06-22T12:00:00.000000,cadmium,0.00042,0.000459,1.092857,0.00042
2001-06-22T13:00:00.000000,cadmium,0.00032,0.000459,1.434375,0.00032
2001-06-22T14:00:00.000000,cadmium,0.00012,0.001029,8.575,0.00012
2001-06-22T15:00:00.000000,cadmium,0.00026,0.000399,1.534615,0.00026
2001-06-22T16:00:00.000000,cadmium,0.00033,0.000639,1.936364,0.00033
2001-06-22T17:00:00.000000,cadmium,0.00046,0.000489,1.063043,0.00046
2001-06-22T18:00:00.000000,cadmium,0.0005,0.000669,1.338,0.0005
2001-06-22T19:00:00.000000,cadmium,0.00039,0.001239,3.176923,0.00039
2001-06-22T20:00:00.000000,cadmium,0.00046,0.000609,1.323913,0.00046
2001-06-22T21:00:00.000000,cadmium,0.00033,0.000759,2.3,0.00033
2001-06-22T22:00:00.000000,cadmium,0.00053,0.000849,1.601887,0.00053
2001-06-22T23:00:00.000000,cadmium,0.00066,0.000849,1.286364,0.00066
2001-06-23T00:00:00.000000,cadmium,0.00002,0.0001,4.995,0.00002
2001-06-23T01:00:00.000000,cadmium,0.00051,0.001299,2.547059,0.00051
2001-06-23T02:00:00.000000,cadmium,0.00014,0.000639,4.564286,0.00014
2001-06-23T03:00:00.000000,cadmium,0.00126,0.001059,0.840476,0.001259
2001-06-23T04:00:00.000000,cadmium,0.00139,0.000519,0.373381,0.001389
2001-06-23T05:00:00.000000,cadmium,0.00083,0.000759,0.914458,0.00083
2001-06-23T06:00:00.000000,cadmium,0.00053,0.000459,0.866038,0.00053
2001-06-23T07:00:00.000000,cadmium,0.00037,0.000339,0.916216,0.00037
2001-06-23T08:00:00.000000,cadmium,0.00068,0.000669,0.983824,0.00068
2001-06-23T09:00:00.000000,cadmium,0.00035,0.000369,1.054286,0.00035
2001-06-23T10:00:00.000000,cadmium,0.00058,0.000489,0.843103,0.00058
2001-06-23T11:00:00.000000,cadmium,0.0005,0.000429,0.858,0.0005
2001-06-23T12:00:00.000000,cadmium,0.00036,0.000459,1.275,0.00036
2001-06-23T13:00:00.000000,cadmium,0.00042,0.000489,1.164286,0.00042
2001-06-23T14:00:00.000000,cadmium,0.00026,0.000549,2.111538,0.00026
2001-06-23T15:00:00.000000,cadmium,0.00028,0.000519,1.853571,0.00028
2001-06-23T16:00:00.000000,cadmium,0.00078,0.000909,1.165385,0.00078
2001-06-23T17:00:00.000000,cadmium,0.00069,0.000549,0.795652,0.00069
2001-06-23T18:00:00.000000,cadmium,0.00059,0.000549,0.930508,0.00059
2001-06-23T19:00:00.000000,cadmium,0.00007,0.000729,10.414286,0.00007
2001-06-23T20:00:00.000000,cadmium,0.0001,0.000699,6.99,0.0001
2001-06-23T21:00:00.000000,cadmium,0.00007,0.001119,15.985714,0.00007
2001-06-23T22:00:00.000000,cadmium,0.00011,0.000699,6.354545,0.00011
