Date,Component,Concentration,Uncertainty,Uncertainty_Ratio
2001-06-22T00:00:00Z,Cd,0.00254,0.001449,0.5704724409448818
2001-06-22T00:00:00Z,Cu,0.00569,8.27e-4,0.14534270650263623
2001-06-22T00:00:00Z,Fe,0.0458,0.00894,0.19519650655021833
2001-06-22T00:00:00Z,Mn,0.00341,2.87e-4,0.0841642228739003
2001-06-22T00:00:00Z,Ni,0,1.5e-4,Inf
2001-06-22T00:00:00Z,Pb,0.00737,9.23e-4,0.12523744911804613
2001-06-22T00:00:00Z,Se,0.00124,0.001941,1.5653225806451614
2001-06-22T00:00:00Z,Zn,0.125,0.00946,0.07568
2001-06-22T00:00:00Z,SO4,1.76,0.177,0.1005681818181818
2001-06-22T00:00:00Z,NO3,1.31,5.31,4.0534351145038165
2001-06-22T00:00:00Z,OC,3.25,13,4
2001-06-22T00:00:00Z,EC,0.584,2.16,3.698630136986302
2001-06-22T00:00:00Z,Mass,21.3,255.6,12
2001-06-22T01:00:00Z,Cd,0.00248,9.69e-4,0.3907258064516129
2001-06-22T01:00:00Z,Cu,0.00905,9.17e-4,0.10132596685082872
2001-06-22T01:00:00Z,Fe,0.183,0.0345,0.18852459016393444
2001-06-22T01:00:00Z,Mn,0.0104,6.37e-4,0.06125
2001-06-22T01:00:00Z,Ni,0.0027,0.00116,0.4296296296296296
2001-06-22T01:00:00Z,Pb,0.0117,0.00131,0.11196581196581196
2001-06-22T01:00:00Z,Se,7.9e-4,0.001851,2.3430379746835444
2001-06-22T01:00:00Z,Zn,0.143,0.0105,0.07342657342657344
2001-06-22T01:00:00Z,SO4,1.96,0.197,0.10051020408163266
2001-06-22T01:00:00Z,NO3,1.31,5.31,4.0534351145038165
2001-06-22T01:00:00Z,OC,3.25,13,4
2001-06-22T01:00:00Z,EC,0.584,2.16,3.698630136986302
2001-06-22T01:00:00Z,Mass,28.6,342,11.958041958041957
2001-06-22T02:00:00Z,Cd,0.00164,7.89e-4,0.48109756097560974
2001-06-22T02:00:00Z,Cu,0.00812,8.67e-4,0.10677339901477832
2001-06-22T02:00:00Z,Fe,0.0702,0.01272,0.18119658119658122
2001-06-22T02:00:00Z,Mn,0.00698,4.57e-4,0.0654727793696275
2001-06-22T02:00:00Z,Ni,0.00171,0.00104,0.6081871345029239
2001-06-22T02:00:00Z,Pb,0.016,0.00116,0.0725
2001-06-22T02:00:00Z,Se,7.4e-4,0.002031,2.744594594594594
2001-06-22T02:00:00Z,Zn,0.094,0.00756,0.08042553191489361
2001-06-22T02:00:00Z,SO4,2.34,0.235,0.10042735042735043
2001-06-22T02:00:00Z,NO3,1.31,5.31,4.0534351145038165
2001-06-22T02:00:00Z,OC,3.25,13,4
2001-06-22T02:00:00Z,EC,0.584,2.16,3.698630136986302
2001-06-22T02:00:00Z,Mass,21.3,255.6,12
2001-06-22T03:00:00Z,Cd,0.00238,7.89e-4,0.3315126050420168
2001-06-22T03:00:00Z,Cu,0.00937,9.37e-4,0.1
2001-06-22T03:00:00Z,Fe,0.326,0.0537,0.1647239263803681
2001-06-22T03:00:00Z,Mn,0.0264,0.00149,0.05643939393939394
2001-06-22T03:00:00Z,Ni,0.00106,0.00103,0.9716981132075473
2001-06-22T03:00:00Z,Pb,0.0485,0.00277,0.05711340206185567
2001-06-22T03:00:00Z,Se,9.9e-4,0.001851,1.8696969696969696
2001-06-22T03:00:00Z,Zn,0.152,0.011,0.07236842105263158
2001-06-22T03:00:00Z,SO4,2.88,11.5,3.993055555555556
2001-06-22T03:00:00Z,NO3,1.31,5.31,4.0534351145038165
2001-06-22T03:00:00Z,OC,3.25,13,4
2001-06-22T03:00:00Z,EC,0.584,2.16,3.698630136986302
2001-06-22T03:00:00Z,Mass,23.4,280.8,12.000000000000002
2001-06-22T04:00:00Z,Cd,0.00107,6.69e-4,0.6252336448598131
2001-06-22T04:00:00Z,Cu,0.00878,9.07e-4,0.10330296127562644
2001-06-22T04:00:00Z,Fe,0.0642,0.01212,0.18878504672897198
2001-06-22T04:00:00Z,Mn,0.0181,0.00107,0.05911602209944751
2001-06-22T04:00:00Z,Ni,0.00109,9.8e-4,0.8990825688073394
2001-06-22T04:00:00Z,Pb,0.0414,0.0025,0.060386473429951695
2001-06-22T04:00:00Z,Se,0.00179,0.001761,0.9837988826815642
2001-06-22T04:00:00Z,Zn,0.0928,0.0077,0.08297413793103449
2001-06-22T04:00:00Z,SO4,2.88,11.5,3.993055555555556
2001-06-22T04:00:00Z,NO3,1.31,5.31,4.0534351145038165
2001-06-22T04:00:00Z,OC,3.25,13,4
2001-06-22T04:00:00Z,EC,0.584,2.16,3.698630136986302
2001-06-22T04:00:00Z,Mass,21.7,260.4,12
2001-06-22T05:00:00Z,Cd,4.2e-4,8.79e-4,2.092857142857143
