date,124-trimethylbenzene,224-trimethylpentane,234-trimethylpentane,23-dimethylbutane,23-dimethylpentane,2-methylheptane,3-methylhexane,3-methylpentane,acetylene,benzene,cis-2-butene,cis-2-pentene,ethane,ethylbenzene,ethylene,isobutane,isopentane,isoprene,isopropylbenzene,m_p_xylene,m-diethylbenzene,m-ethyltoluene,n-butane,n-decane,n-heptane,n-hexane,n-nonane,n-octane,n-pentane,n-propylbenzene,n-undecane,o-ethyltoluene,o-xylene,propane,propylene,styrene,toluene,trans-2-butene,trans-2-pentene,unidentified,tnmoc
2005-06-01T06:00:00.000000,0.425268,0.940008,0.378437,0.457425,0.207014,0.314811,0.371564,1.241269,1.118415,1.091924,0.004988,0.207014,2.068128,0.357675,2.552566,3.318541,1.870263,0.788458,0.004988,0.81978,0.004988,0.34359,1.684546,0.239017,0.500776,2.938104,0.34359,0.336472,1.289233,0.004988,0.24686,0.004988,0.703098,2.931728,3.005683,0.329304,1.456287,0.004988,0.875469,3.488378,5.12285
2005-06-02T03:00:00.000000,1.316409,1.731656,1.266948,0.891998,0.631272,0.565314,1.043804,1.543299,1.286474,1.517323,0.92822,0.765468,2.716019,0.97456,1.925708,2.200553,2.796672,1.214913,0.215112,1.924249,0.329304,1.163151,2.443217,0.530629,0.966984,1.979622,0.451076,0.587787,2.060514,0.405465,0.518794,0.548122,1.150572,2.732418,1.974082,0.559616,2.571849,1.226713,1.169382,4.792857,5.611469
2005-06-02T06:00:00.000000,0.828552,1.733424,0.81978,1.121678,0.678034,0.438255,0.908259,1.585146,1.249902,1.467875,0.336472,0.530629,2.817204,0.652325,1.589236,2.227862,3.235537,1.467875,0.004988,1.408545,0.182322,0.625939,3.337548,0.357675,0.891998,1.890096,0.329304,0.553885,2.5096,0.24686,0.336472,0.34359,0.788458,3.029651,1.65058,0.357675,1.962908,0.425268,0.832909,3.18546,5.245304
2005-06-03T03:00:00.000000,1.642873,2.052841,1.156882,0.587787,0.708036,0.582216,1.137833,1.78171,1.702929,1.856299,0.270027,0.66783,3.03975,1.345473,2.63045,2.440607,3.075468,2.107787,0.378437,2.311545,0.378437,1.585146,2.744704,0.722706,1.068153,1.938742,0.66783,0.565314,2.512847,0.647104,0.625939,0.845869,1.506298,2.828497,1.543299,1.068153,2.876949,0.24686,1.047319,4.359707,5.647686
2005-06-04T03:00:00.000000,0.94779,1.266948,0.593327,0.693147,0.431783,0.322084,0.732368,1.134623,1.12493,1.366092,0.004988,0.307485,3.055416,0.824176,1.985131,2.273157,2.488235,0.364643,0.004988,1.662031,0.004988,0.779325,2.399712,0.357675,0.802002,1.381282,0.463734,0.482426,1.961503,0.231112,0.329304,0.476234,0.955512,2.718661,1.264127,0.463734,2.13889,0.004988,0.662688,3.4517,5.017108
2005-06-04T06:00:00.000000,0.683097,0.783902,0.329304,0.418711,0.239017,0.165515,0.494696,0.996949,1.07841,1.591274,0.157004,0.157004,2.84955,0.615186,2.689208,1.383792,1.818077,1.899119,0.004988,1.371181,0.24686,0.470004,1.673352,0.239017,0.593327,1.61542,0.24686,0.29267,1.444564,0.004988,0.198851,0.598837,0.741938,2.24071,2.706049,0.277632,1.756133,0.139762,0.476234,3.832765,5.013632
2005-06-05T03:00:00.000000,0.71784,0.985817,0.476234,0.350657,0.470004,0.24686,0.457425,1.648659,0.966984,1.625312,0.198851,0.314811,3.167583,0.71784,2.495682,1.958686,2.217028,0.470004,0.004988,1.33763,0.004988,0.783902,2.252344,0.385263,0.66783,3.055887,0.371564,0.371564,1.757858,0.270027,0.314811,0.314811,0.737164,2.63117,1.570698,0.652325,1.854735,0.157004,0.004988,3.520377,5.103046
2005-06-05T06:00:00.000000,0.672945,0.989542,0.451076,0.270027,0.336472,0.19062,0.371564,1.178655,0.92822,1.208961,0.004988,0.239017,2.398805,0.678034,1.497389,1.543299,2.054124,1.918393,0.004988,1.388792,0.004988,0.71784,2.177022,0.277632,0.536494,1.02962,0.270027,0.29267,1.574847,0.223144,0.223144,0.398776,0.751416,2.215938,1.308333,0.463734,1.838962,0.004988,0.392042,3.743247,4.808233
2005-06-06T03:00:00.000000,0.65752,1.12493,0.500776,0.609766,0.307485,0.239017,0.506818,1.286474,0.97456,0.932164,0.004988,0.350657,2.059239,0.512824,1.172483,1.050822,2.262805,0.553885,0.004988,1.235472,0.004988,0.71784,2.088154,0.231112,0.615186,2.547882,0.438255,0.506818,1.627278,0.004988,0.004988,0.231112,0.678034,1.94018,0.828552,0.254642,1.581039,0.34359,0.625939,4.302255,5.007439
2005-06-06T06:00:00.000000,0.727549,1.08519,0.494696,0.444686,0.322084,0.24686,0.647104,0.806476,1.199965,1.160021,0.004988,0.198851,1.976855,0.708036,1.549688,1.064711,1.885554,2.121064,0.004988,1.401183,0.004988,0.756122,1.699279,0.198851,0.66783,1.02962,0.231112,0.371564,1.418278,0.004988,0.004988,0.524729,0.756122,2.144762,0.978327,0.307485,1.859419,0.322084,0.530629,3.282557,4.580661
2005-06-07T03:00:00.000000,1.10194,1.391282,0.71295,0.71784,0.482426,0.350657,0.779325,1.247033,1.324419,1.316409,0.165515,0.398776,2.398805,0.867101,2.022872,1.796748,2.444085,0.900162,0.004988,1.745716,0.157004,1.408545,2.055406,0.451076,0.774728,1.981002,0.482426,0.518794,1.879466,0.314811,0.398776,0.463734,0.989542,2.360855,1.570698,0.703098,2.177022,0.476234,0.672945,4.946074,5.522128
2005-06-07T06:00:00.000000,1.011601,1.413424,0.756122,0.683097,0.482426,0.357675,0.751416,1.208961,1.481605,1.342865,0.239017,0.371564,2.155245,0.850151,2.16562,1.589236,2.251292,1.968511,0.173953,1.667707,0.207014,0.875469,1.884035,0.444686,0.662688,1.4884,0.378437,0.463734,1.656322,0.300105,0.336472,0.582216,0.966984,2.218116,1.456287,0.470004,2.07443,0.157004,0.609766,4.30022,5.150664
2005-06-08T03:00:00.000000,1.169382,1.515128,0.845869,0.982079,0.57098,0.425268,0.94779,1.808289,2.001481,2.056685,0.385263,0.482426,3.585462,1.134623,2.875259,2.199445,2.885918,0.883768,0.004988,1.821319,0.307485,0.912283,2.518503,0.553885,0.982079,2.333115,0.512824,0.598837,2.38968,0.336472,0.518794,0.451076,1.033185,2.968362,2.227862,0.741938,2.406044,0.500776,0.788458,3.998846,5.524139
