date,pm2.5,aluminum,ammonium_ion,arsenic,barium,bromine,calcium,chlorine,chromium,copper,elemental_carbon,iron,lead,manganese,nickel,organic_carbon,om,potassium_ion,selenium,silicon,sodium_ion,sulfate,titanium,total_nitrate,vanadium,zinc
2000-12-14,2.674149,0.004181,0.987681,0.00098,0.006777,0.003663,0.035126,0.002632,0.00052,0.002811,0.49774,0.078349,0.004311,0.001978,0.001279,1.652497,1.93268,0.055624,0.001369,0.050931,0.084433,1.560248,0.003643,0.81978,0.002327,0.013262
2000-12-20,2.884801,0.012423,1.166271,0.001898,0.043538,0.00451,0.04373,0.039125,0.001299,0.005276,0.410784,0.069899,0.00444,0.001748,0.00095,1.89762,2.190312,0.045165,0.004321,0.088377,0.126633,1.644805,0.002646,1.472472,0.001898,0.023424
2000-12-26,2.406945,0.012423,0.770108,0.001898,0.043538,0.003424,0.022055,0.021664,0.001299,0.001299,0.225541,0.031014,0.00444,0.001748,0.00095,1.702928,1.985955,0.029365,0.001699,0.036525,0.059118,1.12493,0.002646,1.187843,0.001898,0.017447
2001-01-01,2.028148,0.012423,0.871293,0.001898,0.043538,0.001599,0.010247,0.007472,0.001299,0.003305,0.349247,0.020391,0.00444,0.001748,0.00095,1.477049,1.746065,0.063726,0.001699,0.020293,0.046979,1.300192,0.002646,1.12493,0.001898,0.004639
2001-01-07,3.586293,0.004181,0.987681,0.00098,0.006777,0.003663,0.035126,0.002632,0.00052,0.002811,0.49774,0.078349,0.004311,0.001978,0.001279,1.652497,1.93268,0.055624,0.001369,0.050931,0.084433,1.560248,0.003643,0.81978,0.002327,0.013262
2001-01-13,3.837299,0.012423,1.832581,0.001898,0.043538,0.012126,0.065881,0.352767,0.001299,0.017545,1.07841,0.263902,0.020783,0.008117,0.004141,2.714695,3.032064,0.273837,0.001699,0.071948,0.132781,1.796747,0.00895,2.61007,0.004181,0.070179
2001-01-19,2.674149,0.012423,1.108563,0.001898,0.043538,0.008018,0.01784,0.111541,0.001299,0.004709,0.586119,0.051643,0.00444,0.001748,0.005952,1.99606,2.292939,0.051168,0.001699,0.03208,0.107957,1.585145,0.005495,1.121678,0.008335,0.01479
2001-01-25,4.169761,0.012423,1.163151,0.001898,0.043538,0.0045,0.044495,0.007472,0.001299,0.002856,0.424614,0.037007,0.00444,0.001748,0.00095,1.539015,1.812215,0.023912,0.001699,0.025278,0.219938,1.574846,0.002646,1.483875,0.001898,0.011138
2001-01-31,2.80336,0.012423,0.8671,0.001898,0.043538,0.010346,0.033338,0.007472,0.001299,0.010742,0.904218,0.112435,0.00444,0.001748,0.00095,2.191654,2.495682,0.080012,0.001699,0.034691,0.041046,1.430311,0.002646,0.95935,0.001898,0.027031
2001-02-03,2.970414,0.012423,1.134623,0.001898,0.043538,0.003663,0.036814,0.007472,0.001299,0.002736,0.511026,0.073715,0.00444,0.001748,0.00095,2.020222,2.318065,0.099845,0.001699,0.045165,0.128393,1.444563,0.002646,1.663926,0.001898,0.01548
2001-02-06,2.867899,0.012423,1.241269,0.001898,0.043538,0.004052,0.048123,0.018331,0.001299,0.009227,0.741937,0.121332,0.00444,0.004141,0.002806,1.809927,2.098509,0.047837,0.001699,0.057608,0.054962,1.83418,0.002646,1.202972,0.005515,0.032177
2001-02-09,3.277145,0.012423,1.637053,0.001898,0.043538,0.013311,0.048409,0.0444,0.001299,0.005376,0.578297,0.180653,0.017447,0.005883,0.002736,2.161022,2.464023,0.151003,0.004012,0.072228,0.136278,1.964311,0.009009,2.039921,0.008018,0.043059
2001-02-13,3.33577,0.004181,0.987681,0.00098,0.006777,0.003663,0.035126,0.002632,0.00052,0.002811,0.49774,0.078349,0.004311,0.001978,0.001279,1.652497,1.93268,0.055624,0.001369,0.050931,0.084433,1.560248,0.003643,0.81978,0.002327,0.013262
2001-02-15,2.694627,0.012423,1.205971,0.001898,0.043538,0.005773,0.024985,0.007472,0.001299,0.001299,0.481809,0.058269,0.00444,0.001748,0.002158,1.678964,1.960658,0.059495,0.001699,0.036043,0.242946,1.658228,0.002646,1.453953,0.001898,0.016464
2001-02-18,2.424803,0.012423,0.815365,0.001898,0.043538,0.001599,0.036332,0.007472,0.001299,0.002686,0.303063,0.039509,0.00444,0.001748,0.00095,1.859418,2.150366,0.036332,0.001699,0.029462,0.09894,1.358409,0.002646,0.920283,0.001898,0.008137
