date,pm2.5,aluminum,ammonium_ion,arsenic,barium,bromine,calcium,chlorine,chromium,copper,elemental_carbon,iron,lead,manganese,nickel,organic_carbon,om,potassium_ion,selenium,silicon,sodium_ion,sulfate,titanium,total_nitrate,vanadium,zinc
2000-12-14,0.854415,0.016621,2.046402,0.003912,0.026837,0.014573,0.133656,0.010485,0.002078,0.011197,1.275363,0.282167,0.017132,0.007889,0.005107,2.883683,3.204046,0.206038,0.005465,0.189794,0.301881,2.775086,0.014494,1.805005,0.009277,0.052023
2000-12-20,0.989541,0.020619,0.115153,0.003162,0.071545,0.001189,0.01192,0.060539,0.002164,0.001688,0.103962,0.011174,0.007389,0.002912,0.001582,0.439618,0.572651,0.020759,0.00135,0.020421,0.051364,0.179575,0.004407,0.117061,0.003162,0.002385
2000-12-26,0.698135,0.020619,0.074897,0.003162,0.071545,0.001168,0.010733,0.060386,0.002164,0.002164,0.099962,0.010479,0.007389,0.002912,0.001582,0.371143,0.488056,0.020616,0.002829,0.018642,0.032627,0.124775,0.004407,0.095039,0.003162,0.002249
2001-01-01,0.506818,0.020619,0.083135,0.003162,0.071545,0.002663,0.010401,0.012423,0.002164,0.001607,0.102267,0.010382,0.007389,0.002912,0.001582,0.309539,0.410729,0.021009,0.002829,0.018389,0.030177,0.138728,0.004407,0.09138,0.003162,0.002083
2001-01-07,1.506297,0.016621,2.046402,0.003912,0.026837,0.014573,0.133656,0.010485,0.002078,0.011197,1.275363,0.282167,0.017132,0.007889,0.005107,2.883683,3.204046,0.206038,0.005465,0.189794,0.301881,2.775086,0.014494,1.805005,0.009277,0.052023
2001-01-13,1.711995,0.020619,0.237098,0.003162,0.071545,0.001461,0.013758,0.081046,0.002164,0.0027,0.157706,0.020659,0.003696,0.0023,0.001339,0.863775,1.071905,0.029812,0.002829,0.019702,0.053343,0.204016,0.002981,0.325626,0.001717,0.004176
2001-01-19,0.854415,0.020619,0.107921,0.003162,0.071545,0.001289,0.010588,0.062209,0.002164,0.001661,0.111265,0.010781,0.007389,0.002912,0.001434,0.47943,0.621229,0.02083,0.002829,0.018558,0.045567,0.171106,0.002742,0.091202,0.002245,0.0022
2001-01-25,1.997418,0.020619,0.114749,0.003162,0.071545,0.001188,0.011974,0.012423,0.002164,0.001594,0.1044,0.010551,0.007389,0.002912,0.001582,0.324496,0.429616,0.020581,0.002829,0.018451,0.083937,0.169706,0.004407,0.118146,0.003162,0.002145
2001-01-31,0.936093,0.020619,0.082766,0.003162,0.071545,0.00138,0.011265,0.012423,0.002164,0.002057,0.13631,0.012506,0.007389,0.002912,0.001582,0.568322,0.728236,0.021302,0.002829,0.018606,0.029137,0.151921,0.004407,0.083558,0.003162,0.002481
2001-02-03,1.047319,0.020619,0.111127,0.003162,0.071545,0.001172,0.011467,0.012423,0.002164,0.00159,0.107652,0.01127,0.007389,0.002912,0.001582,0.489716,0.633712,0.021752,0.002829,0.018837,0.051928,0.153524,0.004407,0.137563,0.003162,0.002212
2001-02-06,0.978326,0.020619,0.125282,0.003162,0.071545,0.001179,0.012241,0.060367,0.002164,0.001937,0.121423,0.012851,0.007389,0.002132,0.001288,0.407056,0.532594,0.02079,0.002829,0.01919,0.031743,0.210694,0.004407,0.09598,0.001862,0.002636
2001-02-09,1.266948,0.020619,0.193415,0.003162,0.071545,0.001519,0.012262,0.060603,0.002164,0.001693,0.110852,0.015642,0.003404,0.002194,0.001285,0.553568,0.710607,0.023383,0.001311,0.019713,0.054482,0.236019,0.002986,0.193432,0.002198,0.003018
2001-02-13,1.311032,0.016621,2.046402,0.003912,0.026837,0.014573,0.133656,0.010485,0.002078,0.011197,1.275363,0.282167,0.017132,0.007889,0.005107,2.883683,3.204046,0.206038,0.005465,0.189794,0.301881,2.775086,0.014494,1.805005,0.009277,0.052023
2001-02-15,0.8671,0.020619,0.12041,0.003162,0.071545,0.001219,0.010852,0.012423,0.002164,0.002164,0.106449,0.01091,0.007389,0.002912,0.001269,0.363686,0.47876,0.020944,0.002829,0.018632,0.0926,0.181567,0.004407,0.115333,0.003162,0.00223
2001-02-18,0.708036,0.020619,0.078414,0.003162,0.071545,0.002663,0.011438,0.012423,0.002164,0.001589,0.101246,0.010585,0.007389,0.002912,0.001582,0.425092,0.554818,0.020671,0.002829,0.018514,0.042901,0.144315,0.004407,0.082061,0.003162,0.00211
2001-02-21,0.854415,0.020619,0.084617,0.003162,0.071545,0.002663,0.011887,0.012423,0.002164,0.001604,0.105299,0.011775,0.007389,0.002912,0.001582,0.424511,0.554103,0.02822,0.002829,0.019375,0.189245,0.142263,0.004407,0.108968,0.003162,0.002236
