date,124-trimethylbenzene,224-trimethylpentane,234-trimethylpentane,23-dimethylbutane,23-dimethylpentane,2-methylheptane,3-methylhexane,3-methylpentane,acetylene,benzene,cis-2-butene,cis-2-pentene,ethane,ethylbenzene,ethylene,isobutane,isopentane,isoprene,isopropylbenzene,m_p_xylene,m-diethylbenzene,m-ethyltoluene,n-butane,n-decane,n-heptane,n-hexane,n-nonane,n-octane,n-pentane,n-propylbenzene,n-undecane,o-ethyltoluene,o-xylene,propane,propylene,styrene,toluene,trans-2-butene,trans-2-pentene,unidentified,tnmoc
2005-06-01T06:00:00.000000,0.076498,0.210261,0.066724,0.083422,0.033918,0.054015,0.06532,0.314081,0.269264,0.260054,0.008299,0.033918,0.711233,0.062505,1.021011,1.608037,0.600758,0.165515,0.008299,0.174373,0.008299,0.059683,0.505914,0.039701,0.093035,1.303457,0.059683,0.058269,0.332536,0.008299,0.041142,0.008299,0.142367,1.298556,1.355836,0.056853,0.401123,0.008299,0.19062,2.825324,6.504665
2005-06-02T03:00:00.000000,0.343235,0.529157,0.323894,0.195567,0.123986,0.107957,0.24373,0.439545,0.33146,0.427879,0.206608,0.159138,1.137192,0.221142,0.63074,0.790501,1.196495,0.304171,0.035367,0.629941,0.056853,0.285179,0.946432,0.099845,0.218734,0.660624,0.082041,0.113329,0.706804,0.072321,0.097127,0.10391,0.280658,1.149147,0.65752,0.10661,1.03443,0.308587,0.287432,4.107965,6.995018
2005-06-02T06:00:00.000000,0.17689,0.53004,0.174373,0.270409,0.135841,0.079273,0.200489,0.45869,0.317362,0.406132,0.058269,0.099845,1.211793,0.129272,0.460585,0.807369,1.53966,0.406132,0.008299,0.380831,0.029559,0.12266,1.623834,0.062505,0.195567,0.611395,0.056853,0.105261,0.991399,0.041142,0.058269,0.059683,0.165515,1.374602,0.4895,0.062505,0.651283,0.076498,0.178146,2.532839,6.627637
2005-06-03T03:00:00.000000,0.485816,0.702355,0.282921,0.113329,0.143667,0.111989,0.276116,0.55446,0.514917,0.593327,0.045451,0.133219,1.382538,0.354874,1.075685,0.944684,1.410744,0.734529,0.066724,0.860144,0.066724,0.45869,1.158139,0.147558,0.251925,0.637899,0.133219,0.107957,0.993622,0.127953,0.12266,0.181905,0.422978,1.22024,0.439545,0.251925,1.256755,0.041142,0.244905,3.679261,7.031333
2005-06-04T03:00:00.000000,0.212689,0.323894,0.114667,0.139762,0.077887,0.055435,0.150143,0.274977,0.271553,0.363253,0.008299,0.052592,1.394883,0.175633,0.663719,0.835732,0.976822,0.063913,0.008299,0.495001,0.008299,0.162969,0.91749,0.062505,0.169321,0.369493,0.084801,0.088926,0.650501,0.038259,0.056853,0.087553,0.215112,1.139115,0.322808,0.084801,0.753066,0.008299,0.131905,2.789752,6.398422
2005-06-04T06:00:00.000000,0.13715,0.164243,0.056853,0.075108,0.039701,0.026642,0.091667,0.22833,0.255417,0.461531,0.02518,0.02518,1.236053,0.120003,1.117762,0.370529,0.573237,0.616266,0.008299,0.365338,0.041142,0.086178,0.500472,0.039701,0.114667,0.472812,0.041142,0.049742,0.396088,0.008299,0.032467,0.116004,0.152721,0.815365,1.12995,0.046884,0.541452,0.022251,0.087553,3.161037,6.394929
2005-06-05T03:00:00.000000,0.146263,0.224742,0.087553,0.061095,0.086178,0.041142,0.083422,0.48858,0.218734,0.477476,0.032467,0.054015,1.484442,0.146263,0.981892,0.648934,0.800656,0.086178,0.008299,0.351713,0.008299,0.164243,0.82264,0.068126,0.133219,1.395255,0.06532,0.06532,0.542325,0.045451,0.054015,0.054015,0.151433,1.076197,0.452031,0.129272,0.592498,0.02518,0.008299,2.856389,6.484771
2005-06-05T06:00:00.000000,0.134531,0.22594,0.082041,0.045451,0.058269,0.031014,0.06532,0.290802,0.206608,0.301955,0.008299,0.039701,0.916891,0.135841,0.419039,0.439545,0.703098,0.626741,0.008299,0.372598,0.008299,0.146263,0.776109,0.046884,0.101202,0.239017,0.045451,0.049742,0.453938,0.036814,0.036814,0.070924,0.155293,0.799982,0.340037,0.084801,0.584169,0.008299,0.069526,3.073501,6.188387
2005-06-06T03:00:00.000000,0.13059,0.271553,0.093035,0.118672,0.052592,0.039701,0.094401,0.33146,0.221142,0.207827,0.008299,0.061095,0.706064,0.095765,0.288557,0.246079,0.829207,0.105261,0.008299,0.311887,0.008299,0.146263,0.722949,0.038259,0.120003,1.017764,0.079273,0.094401,0.478406,0.008299,0.008299,0.038259,0.135841,0.638691,0.17689,0.04258,0.456792,0.059683,0.12266,3.622555,6.388704
2005-06-06T06:00:00.000000,0.148851,0.257738,0.091667,0.080658,0.055435,0.041142,0.127953,0.170586,0.298622,0.284051,0.008299,0.032467,0.659074,0.143667,0.44244,0.250759,0.60895,0.742414,0.008299,0.377751,0.008299,0.156576,0.513123,0.032467,0.133219,0.239017,0.038259,0.06532,0.384922,0.008299,0.008299,0.098487,0.156576,0.756592,0.222343,0.052592,0.594983,0.055435,0.099845,2.626254,5.959239
