date,cadmium,copper,iron,manganese,nickel,lead,selenium,zinc,sulfate,total_nitrate,organic_carbon,elemental_carbon,pm2.5
2001-06-22T00:00:00.000000,0.002537,0.005674,0.044782,0.003404,0.0,0.007343,0.001239,0.117783,1.015231,0.837248,1.446919,0.459953,3.104587
2001-06-22T01:00:00.000000,0.002477,0.009009,0.168054,0.010346,0.002696,0.011632,0.00079,0.133656,1.085189,0.837248,1.446919,0.459953,3.387774
2001-06-22T02:00:00.000000,0.001639,0.008087,0.067846,0.006956,0.001709,0.015873,0.00074,0.089841,1.205971,0.837248,1.446919,0.459953,3.104587
2001-06-22T03:00:00.000000,0.002377,0.009326,0.282167,0.026058,0.001059,0.047361,0.00099,0.1415,1.355835,0.837248,1.446919,0.459953,3.194583
2001-06-22T04:00:00.000000,0.001069,0.008742,0.062223,0.017938,0.001089,0.040566,0.001788,0.088743,1.355835,0.837248,1.446919,0.459953,3.122365
2001-06-22T05:00:00.000000,0.00042,0.002597,0.022935,0.003255,0.00034,0.014987,0.00079,0.035367,1.355835,0.837248,1.446919,0.459953,2.587764
2001-06-22T06:00:00.000000,0.00038,0.002646,0.026934,0.001828,0.00028,0.009386,0.00059,0.018527,1.355835,0.837248,1.446919,0.459953,2.501436
2001-06-22T07:00:00.000000,0.00023,0.001748,0.019116,0.001259,0.00062,0.00634,0.00006,0.01094,1.536867,0.837248,1.446919,0.459953,2.415914
2001-06-22T08:00:00.000000,0.00041,0.001808,0.023033,0.001069,0.00031,0.005515,0.00023,0.014987,1.415853,0.837248,1.446919,0.459953,2.587764
2001-06-22T11:00:00.000000,0.00018,0.002497,0.019214,0.00097,0.00021,0.005216,0.00042,0.013706,1.667707,0.837248,1.446919,0.459953,2.624669
2001-06-22T12:00:00.000000,0.00042,0.001429,0.021859,0.001119,0.00024,0.007363,0.00035,0.009158,1.838961,0.837248,1.446919,0.459953,2.839078
2001-06-22T13:00:00.000000,0.00032,0.001389,0.021174,0.001029,0.00029,0.008276,0.00002,0.014002,1.916923,0.837248,1.446919,0.459953,2.791165
2001-06-22T14:00:00.000000,0.00012,0.000535,0.023228,0.00098,0.0,0.004669,0.00036,0.01262,1.88707,0.837248,1.446919,0.459953,2.727853
2001-06-22T15:00:00.000000,0.00026,0.001249,0.02635,0.001299,0.00033,0.003065,0.00023,0.016464,1.818077,0.837248,1.446919,0.459953,2.734368
2001-06-22T16:00:00.000000,0.00033,0.001309,0.010544,0.001119,0.00088,0.002277,0.00005,0.016955,1.60543,0.837248,1.289233,0.223144,2.727853
2001-06-22T17:00:00.000000,0.00046,0.001159,0.022544,0.001888,0.00054,0.002387,0.00035,0.009554,1.495149,0.837248,1.850028,0.576613,2.923162
2001-06-22T18:00:00.000000,0.0005,0.001768,0.020978,0.002078,0.00052,0.002277,0.0005,0.015381,1.578979,0.837248,1.962908,0.223144,3.08191
2001-06-22T19:00:00.000000,0.00039,0.002447,0.035464,0.001868,0.00023,0.006201,0.001049,0.014396,1.771557,0.837248,2.11505,0.652325,3.206803
2001-06-22T20:00:00.000000,0.00046,0.008097,0.030917,0.002686,0.00024,0.002696,0.00073,0.030917,1.856298,0.837248,2.004179,0.553885,3.165475
2001-06-22T21:00:00.000000,0.00033,0.002208,0.028101,0.001748,0.00045,0.001818,0.00072,0.015283,1.774952,0.837248,1.93297,0.631272,3.131137
2001-06-22T22:00:00.000000,0.00053,0.001359,0.025278,0.001499,0.00096,0.001319,0.0009,0.027323,1.640937,0.837248,2.415914,0.223144,3.529297
2001-06-22T23:00:00.000000,0.00066,0.003205,0.022935,0.002427,0.001149,0.001109,0.00084,0.015578,1.534714,0.837248,3.360375,0.625938,4.201703
2001-06-23T00:00:00.000000,0.00002,0.003673,0.022544,0.001189,0.00036,0.00096,0.00025,0.010247,1.497388,0.837248,3.824284,0.57098,4.560173
2001-06-23T01:00:00.000000,0.00051,0.003205,0.011434,0.00086,0.0,0.001619,0.0005,0.012126,1.495149,0.837248,3.747148,0.615186,4.361824
2001-06-23T02:00:00.000000,0.00014,0.002467,0.013311,0.00097,0.00021,0.002028,0.00071,0.012423,1.48614,0.837248,3.7612,0.741937,4.411585
2001-06-23T03:00:00.000000,0.001259,0.003773,0.011731,0.001838,0.00095,0.008097,0.00088,0.022642,1.499623,0.837248,4.27944,0.845868,4.682131
2001-06-23T04:00:00.000000,0.001389,0.000535,0.015775,0.001349,0.002926,0.021761,0.00069,0.023717,1.439835,0.837248,2.009555,0.587787,3.169686
2001-06-23T05:00:00.000000,0.00083,0.000535,0.022642,0.001309,0.001319,0.035657,0.00072,0.019018,1.383791,0.837248,1.611436,0.438255,2.884801
2001-06-23T06:00:00.000000,0.00053,0.001409,0.018233,0.001109,0.00074,0.042293,0.00093,0.019705,1.756132,0.837248,1.543298,0.223144,3.178054
2001-06-23T07:00:00.000000,0.00037,0.001549,0.018036,0.001029,0.00043,0.029656,0.00096,0.018233,1.979621,0.837248,1.368639,0.223144,3.020425
2001-06-23T08:00:00.000000,0.00068,0.002148,0.022348,0.001219,0.00085,0.02557,0.00093,0.01725,2.060514,0.837248,1.442202,0.223144,3.063391
2001-06-23T09:00:00.000000,0.00035,0.001858,0.02088,0.001079,0.0004,0.016365,0.001059,0.01725,2.056685,0.837248,1.60342,0.223144,2.985682
2001-06-23T10:00:00.000000,0.00058,0.001778,0.025083,0.001119,0.00034,0.011929,0.00097,0.024595,2.127041,0.837248,1.713798,0.223144,2.933857
2001-06-23T11:00:00.000000,0.0005,0.02635,0.027712,0.001249,0.0,0.009188,0.00092,0.016169,2.118662,0.837248,1.627278,0.223144,2.928524
2001-06-23T12:00:00.000000,0.00036,0.002138,0.03208,0.001389,0.00088,0.008851,0.001099,0.016464,2.104134,0.837248,1.656321,0.223144,2.970414
2001-06-23T13:00:00.000000,0.00042,0.001709,0.021468,0.001099,0.00049,0.007154,0.001059,0.01262,2.143589,0.837248,1.453953,0.223144,3.095578
2001-06-23T14:00:00.000000,0.00026,0.001499,0.026252,0.001329,0.00023,0.005525,0.00086,0.007948,2.200552,0.837248,1.446919,0.459953,3.178054
2001-06-23T15:00:00.000000,0.00028,0.001958,0.033048,0.002257,0.00076,0.00624,0.001179,0.018429,2.301585,0.837248,1.826161,0.223144,3.303217
2001-06-23T16:00:00.000000,0.00078,0.002457,0.039125,0.003703,0.000483,0.007065,0.000545,0.02518,2.415914,0.837248,1.446919,0.459953,3.561046
2001-06-23T17:00:00.000000,0.00069,0.004818,0.045165,0.003464,0.000483,0.007065,0.000545,0.020978,2.331173,0.837248,1.981001,0.223144,3.367296
2001-06-23T18:00:00.000000,0.00059,0.002178,0.029462,0.001808,0.000483,0.007065,0.000545,0.018233,2.161022,0.837248,1.446919,0.459953,3.391147
2001-06-23T19:00:00.000000,0.00007,0.002936,0.023424,0.003653,0.003135,0.002806,0.001798,0.013114,2.624669,0.837248,2.213754,0.802002,3.610918
2001-06-23T20:00:00.000000,0.0001,0.002826,0.011533,0.002607,0.003095,0.003603,0.001349,0.00895,2.415914,0.837248,1.99606,0.741937,3.414443
