date,pm2.5,aluminum,ammonium_ion,arsenic,barium,bromine,calcium,chlorine,chromium,copper,elemental_carbon,iron,lead,manganese,nickel,organic_carbon,om,potassium_ion,selenium,silicon,sodium_ion,sulfate,titanium,total_nitrate,vanadium,zinc
2000-12-14,13.5,0.00419,1.685,0.00098,0.0068,0.00367,0.03575,0.002635,0.00052,0.002815,0.645,0.0815,0.00432,0.00198,0.00128,4.22,5.908,0.0572,0.00137,0.05225,0.0881,3.76,0.00365,1.27,0.00233,0.01335
2000-12-20,16.9,0.0125,2.21,0.0019,0.0445,0.00452,0.0447,0.0399,0.0013,0.00529,0.508,0.0724,0.00445,0.00175,0.00095,5.67,7.938,0.0462,0.00433,0.0924,0.135,4.18,0.00265,3.36,0.0019,0.0237
2000-12-26,10.1,0.0125,1.16,0.0019,0.0445,0.00343,0.0223,0.0219,0.0013,0.0013,0.253,0.0315,0.00445,0.00175,0.00095,4.49,6.286,0.0298,0.0017,0.0372,0.0609,2.08,0.00265,2.28,0.0019,0.0176
2001-01-01,6.6,0.0125,1.39,0.0019,0.0445,0.0016,0.0103,0.0075,0.0013,0.00331,0.418,0.0206,0.00445,0.00175,0.00095,3.38,4.732,0.0658,0.0017,0.0205,0.0481,2.67,0.00265,2.08,0.0019,0.00465
2001-01-07,35.1,0.00419,1.685,0.00098,0.0068,0.00367,0.03575,0.002635,0.00052,0.002815,0.645,0.0815,0.00432,0.00198,0.00128,4.22,5.908,0.0572,0.00137,0.05225,0.0881,3.76,0.00365,1.27,0.00233,0.01335
2001-01-13,45.4,0.0125,5.25,0.0019,0.0445,0.0122,0.0681,0.423,0.0013,0.0177,1.94,0.302,0.021,0.00815,0.00415,14.1,19.74,0.315,0.0017,0.0746,0.142,5.03,0.00899,12.6,0.00419,0.0727
2001-01-19,13.5,0.0125,2.03,0.0019,0.0445,0.00805,0.018,0.118,0.0013,0.00472,0.797,0.053,0.00445,0.00175,0.00597,6.36,8.904,0.0525,0.0017,0.0326,0.114,3.88,0.00551,2.07,0.00837,0.0149
2001-01-25,63.7,0.0125,2.2,0.0019,0.0445,0.00451,0.0455,0.0075,0.0013,0.00286,0.529,0.0377,0.00445,0.00175,0.00095,3.66,5.124,0.0242,0.0017,0.0256,0.246,3.83,0.00265,3.41,0.0019,0.0112
2001-01-31,15.5,0.0125,1.38,0.0019,0.0445,0.0104,0.0339,0.0075,0.0013,0.0108,1.47,0.119,0.00445,0.00175,0.00095,7.95,11.13,0.0833,0.0017,0.0353,0.0419,3.18,0.00265,1.61,0.0019,0.0274
2001-02-03,18.5,0.0125,2.11,0.0019,0.0445,0.00367,0.0375,0.0075,0.0013,0.00274,0.667,0.0765,0.00445,0.00175,0.00095,6.54,9.156,0.105,0.0017,0.0462,0.137,3.24,0.00265,4.28,0.0019,0.0156
