date,pm2.5,aluminum,ammonium_ion,arsenic,barium,bromine,calcium,chlorine,chromium,copper,elemental_carbon,iron,lead,manganese,nickel,organic_carbon,om,potassium_ion,selenium,silicon,sodium_ion,sulfate,titanium,total_nitrate,vanadium,zinc
2000-12-14,1.35,0.01676,6.74,0.00392,0.0272,0.01468,0.143,0.01054,0.00208,0.01126,2.58,0.326,0.01728,0.00792,0.00512,16.88,23.632,0.2288,0.00548,0.209,0.3524,15.04,0.0146,5.08,0.00932,0.0534
2000-12-20,1.69,0.020833,0.122045,0.003167,0.074167,0.001189,0.011992,0.062409,0.002167,0.001689,0.109558,0.011236,0.007417,0.002917,0.001583,0.552115,0.772961,0.020976,0.00135,0.020631,0.052706,0.196709,0.004417,0.124187,0.003167,0.002387
2000-12-26,1.01,0.020833,0.077773,0.003167,0.074167,0.001169,0.010791,0.062246,0.002167,0.002167,0.105129,0.010534,0.007417,0.002917,0.001583,0.44939,0.629147,0.02083,0.002833,0.018817,0.033165,0.132894,0.004417,0.099702,0.003167,0.002252
2001-01-01,0.66,0.020833,0.086688,0.003167,0.074167,0.002667,0.010456,0.0125,0.002167,0.001609,0.107679,0.010436,0.007417,0.002917,0.001583,0.362797,0.507916,0.021231,0.002833,0.018559,0.030637,0.148811,0.004417,0.095685,0.003167,0.002086
2001-01-07,3.51,0.01676,6.74,0.00392,0.0272,0.01468,0.143,0.01054,0.00208,0.01126,2.58,0.326,0.01728,0.00792,0.00512,16.88,23.632,0.2288,0.00548,0.209,0.3524,15.04,0.0146,5.08,0.00932,0.0534
2001-01-13,4.54,0.020833,0.267565,0.003167,0.074167,0.001462,0.013853,0.084421,0.002167,0.002704,0.170822,0.020874,0.003703,0.002302,0.00134,1.372099,1.920939,0.030261,0.002833,0.019897,0.054792,0.226318,0.002985,0.384897,0.001718,0.004184
2001-01-19,1.35,0.020833,0.11396,0.003167,0.074167,0.00129,0.010644,0.064184,0.002167,0.001663,0.117691,0.01084,0.007417,0.002917,0.001435,0.615153,0.861214,0.021049,0.002833,0.018731,0.046621,0.186616,0.002746,0.09549,0.002248,0.002202
2001-01-25,6.37,0.020833,0.121592,0.003167,0.074167,0.001189,0.012046,0.0125,0.002167,0.001595,0.110044,0.010607,0.007417,0.002917,0.001583,0.383334,0.536667,0.020795,0.002833,0.018622,0.08756,0.184956,0.004417,0.125408,0.003167,0.002147
2001-01-31,1.55,0.020833,0.086288,0.003167,0.074167,0.001381,0.011328,0.0125,0.002167,0.002059,0.146038,0.012584,0.007417,0.002917,0.001583,0.765303,1.071424,0.02153,0.002833,0.01878,0.029565,0.164068,0.004417,0.087148,0.003167,0.002484
2001-02-03,1.85,0.020833,0.117537,0.003167,0.074167,0.001173,0.011533,0.0125,0.002167,0.001592,0.11366,0.011334,0.007417,0.002917,0.001583,0.631853,0.884594,0.02199,0.002833,0.019015,0.0533,0.165936,0.004417,0.147474,0.003167,0.002214
2001-02-06,1.66,0.020833,0.133468,0.003167,0.074167,0.00118,0.012316,0.062226,0.002167,0.001939,0.129103,0.012934,0.007417,0.002134,0.001288,0.502389,0.703344,0.021007,0.002833,0.019375,0.032252,0.234535,0.004417,0.100737,0.001864,0.00264
2001-02-09,2.55,0.020833,0.213386,0.003167,0.074167,0.00152,0.012338,0.062478,0.002167,0.001694,0.117229,0.015765,0.00341,0.002196,0.001286,0.739448,1.035227,0.023659,0.001312,0.019908,0.055994,0.266198,0.00299,0.213407,0.0022,0.003022
2001-02-13,2.71,0.01676,6.74,0.00392,0.0272,0.01468,0.143,0.01054,0.00208,0.01126,2.58,0.326,0.01728,0.00792,0.00512,16.88,23.632,0.2288,0.00548,0.209,0.3524,15.04,0.0146,5.08,0.00932,0.0534
2001-02-15,1.38,0.020833,0.12796,0.003167,0.074167,0.00122,0.010911,0.0125,0.002167,0.002167,0.112321,0.01097,0.007417,0.002917,0.00127,0.438622,0.614071,0.021165,0.002833,0.018807,0.097023,0.199094,0.004417,0.122247,0.003167,0.002233
2001-02-18,1.03,0.020833,0.08157,0.003167,0.074167,0.002667,0.011504,0.0125,0.002167,0.00159,0.106549,0.010641,0.007417,0.002917,0.001583,0.529731,0.741624,0.020887,0.002833,0.018686,0.043835,0.155248,0.004417,0.085522,0.003167,0.002112
2001-02-21,1.35,0.020833,0.0883,0.003167,0.074167,0.002667,0.011958,0.0125,0.002167,0.001605,0.111043,0.011844,0.007417,0.002917,0.001583,0.528842,0.740379,0.028622,0.002833,0.019564,0.208337,0.15288,0.004417,0.115127,0.003167,0.002238
2001-02-24,1.71,0.020833,0.150219,0.003167,0.074167,0.001203,0.011498,0.0125,0.002167,0.001655,0.106969,0.010945,0.007417,0.002917,0.001264,0.496285,0.694799,0.02,0.002833,0.019534,0.042395,0.19773,0.004417,0.176404,0.003167,0.002122
2001-02-27,1.92,0.020833,0.159642,0.003167,0.074167,0.001251,0.012819,0.0125,0.002167,0.001612,0.11502,0.012863,0.00283,0.002158,0.001268,0.574758,0.804661,0.020803,0.002833,0.020211,0.038358,0.276178,0.002865,0.128857,0.002059,0.002323
2001-03-02,1.12,0.020833,0.094058,0.003167,0.074167,0.001196,0.011944,0.062261,0.002167,0.001596,0.10949,0.013079,0.007417,0.002154,0.001583,0.389387,0.545142,0.02,0.002833,0.019534,0.032661,0.177735,0.004417,0.089897,0.003167,0.002368
2001-03-06,0.54,0.020833,0.064284,0.003167,0.074167,0.002667,0.010857,0.0125,0.002167,0.002167,0.208333,0.010444,0.007417,0.002917,0.001583,0.305104,0.427146,0.02,0.002833,0.018671,0.029933,0.127569,0.004417,0.079446,0.003167,0.002112
2001-03-08,1.69,0.020833,0.169608,0.003167,0.074167,0.001274,0.012367,0.0125,0.002167,0.001612,0.111788,0.011882,0.007417,0.002917,0.001266,0.496285,0.694799,0.02,0.002833,0.01913,0.029798,0.334078,0.004417,0.117236,0.003167,0.002314
2001-03-11,1.96,0.020833,0.131167,0.003167,0.074167,0.001231,0.011434,0.062404,0.002167,0.001609,0.118024,0.012005,0.007417,0.002917,0.001583,0.942081,1.318914,0.02124,0.002833,0.019541,0.031694,0.22277,0.002893,0.126389,0.003167,0.002149
2001-03-14,0.85,0.020833,0.080035,0.003167,0.074167,0.002667,0.011156,0.0125,0.002167,0.002167,0.108724,0.011031,0.007417,0.002917,0.001583,0.346779,0.48549,0.020847,0.002833,0.019156,0.025,0.169711,0.004417,0.07696,0.003167,0.002112
2001-03-17,2.01,0.020833,0.233813,0.003167,0.074167,0.001343,0.010608,0.0125,0.002167,0.002167,0.107234,0.010819,0.007417,0.002917,0.001356,0.364946,0.510924,0.02,0.002833,0.019223,0.034453,0.354676,0.004417,0.194902,0.002267,0.002286
2001-03-20,0.69,0.020833,0.064911,0.003167,0.074167,0.002667,0.011812,0.0125,0.002167,0.002167,0.208333,0.010843,0.007417,0.002917,0.001272,0.382583,0.535616,0.020856,0.002833,0.019733,0.032661,0.124831,0.004417,0.085048,0.003167,0.002112
2001-03-23,0.89,0.01676,6.74,0.00392,0.0272,0.01468,0.143,0.01054,0.00208,0.01126,2.58,0.326,0.01728,0.00792,0.00512,16.88,23.632,0.2288,0.00548,0.209,0.3524,15.04,0.0146,5.08,0.00932,0.0534
2001-03-26,0.9,0.020833,0.089112,0.003167,0.074167,0.0012,0.011026,0.0125,0.002167,0.002167,0.208333,0.010562,0.007417,0.002917,0.001583,0.324146,0.453805,0.02,0.002833,0.01909,0.035948,0.182314,0.004417,0.102417,0.003167,0.002118
2001-03-29,1.71,0.020833,0.167705,0.003167,0.074167,0.001303,0.011372,0.062338,0.002167,0.002167,0.106278,0.010719,0.007417,0.002917,0.001269,0.4378,0.612919,0.020943,0.002833,0.019156,0.044939,0.216773,0.004417,0.182166,0.003167,0.002166
2001-04-01,1.92,0.020833,0.176764,0.003167,0.074167,0.001236,0.010822,0.0125,0.002167,0.001619,0.108661,0.010732,0.007417,0.002917,0.001267,0.471308,0.659831,0.021122,0.002833,0.018918,0.039655,0.210478,0.004417,0.186302,0.003167,0.002171
2001-04-04,0.97,0.020833,0.105152,0.003167,0.074167,0.002667,0.010857,0.0125,0.002167,0.002167,0.107472,0.010956,0.007417,0.002917,0.001583,0.364228,0.509919,0.021028,0.002833,0.019203,0.102933,0.174823,0.004417,0.136898,0.003167,0.002098
2001-04-07,2.34,0.020833,0.176764,0.003167,0.074167,0.001328,0.011787,0.066855,0.002167,0.001812,0.116262,0.011974,0.003032,0.002917,0.001301,0.536864,0.751609,0.021898,0.002833,0.020174,0.159873,0.325345,0.002761,0.169596,0.001982,0.003228
2001-04-10,1.17,0.020833,0.126133,0.003167,0.074167,0.002667,0.010972,0.0125,0.002167,0.002167,0.105362,0.010885,0.007417,0.002917,0.001583,0.350189,0.490265,0.021004,0.002833,0.019694,0.053597,0.191635,0.004417,0.147996,0.003167,0.002105
2001-04-13,1.36,0.027183,0.078898,0.003167,0.074167,0.001185,0.019688,0.0125,0.002167,0.001845,0.124199,0.015629,0.007417,0.00212,0.001266,0.509398,0.713157,0.021629,0.002833,0.026338,0.114158,0.192646,0.003192,0.082933,0.001764,0.002585
