date,124-trimethylbenzene,224-trimethylpentane,234-trimethylpentane,23-dimethylbutane,23-dimethylpentane,2-methylheptane,3-methylhexane,3-methylpentane,acetylene,benzene,cis-2-butene,cis-2-pentene,ethane,ethylbenzene,ethylene,isobutane,isopentane,isoprene,isopropylbenzene,m_p_xylene,m-diethylbenzene,m-ethyltoluene,n-butane,n-decane,n-heptane,n-hexane,n-nonane,n-octane,n-pentane,n-propylbenzene,n-undecane,o-ethyltoluene,o-xylene,propane,propylene,styrene,toluene,trans-2-butene,trans-2-pentene,unidentified,tnmoc
2005-06-01T06:00:00.000000,0.53,1.560001,0.46,0.58,0.23,0.37,0.45,2.460002,2.060001,1.980001,0.005,0.23,6.910004,0.43,11.840007,26.620017,5.490003,1.200001,0.005,1.270001,0.005,0.41,4.390003,0.27,0.65,17.880011,0.41,0.4,2.630002,0.005,0.28,0.005,1.020001,17.760011,19.200012,0.39,3.290002,0.005,1.400001,31.732815,166.8129
2005-06-02T03:00:00.000000,2.730002,4.650003,2.550002,1.440001,0.880001,0.76,1.840001,3.680002,2.620002,3.560002,1.530001,1.150001,14.120009,1.650001,5.860004,8.030005,15.39001,2.370001,0.24,5.850004,0.39,2.200001,10.510007,0.7,1.630001,6.240004,0.57,0.800001,6.850004,0.5,0.68,0.73,2.160001,14.370009,6.200004,0.75,12.090008,2.410002,2.220001,119.645604,272.5457
2005-06-02T06:00:00.000000,1.290001,4.660003,1.270001,2.070001,0.970001,0.55,1.480001,3.880002,2.490002,3.340002,0.4,0.7,15.73001,0.920001,3.900002,8.280005,24.420015,3.340002,0.005,3.090002,0.2,0.870001,27.150017,0.43,1.440001,5.620004,0.39,0.74,11.300007,0.28,0.4,0.41,1.200001,19.690012,4.210003,0.43,6.120004,0.53,1.300001,23.178396,188.6735
2005-06-03T03:00:00.000000,4.170003,6.790004,2.180001,0.800001,1.030001,0.79,2.120001,4.940003,4.490003,5.400003,0.31,0.950001,19.900012,2.840002,12.880008,10.480007,20.660013,7.230005,0.46,9.090006,0.46,3.880002,14.560009,1.060001,1.910001,5.950004,0.950001,0.76,11.340007,0.910001,0.870001,1.330001,3.510002,15.92001,3.680002,1.910001,16.76001,0.28,1.850001,77.234221,282.63435
2005-06-04T03:00:00.000000,1.580001,2.550002,0.810001,1.000001,0.54,0.38,1.080001,2.110001,2.080001,2.920002,0.005,0.36,20.230013,1.280001,6.280004,8.710005,11.040007,0.44,0.005,4.270003,0.005,1.180001,10.020006,0.43,1.230001,2.980002,0.59,0.62,6.110004,0.26,0.39,0.61,1.600001,14.160009,2.540002,0.59,7.490005,0.005,0.940001,30.553975,149.97405
2005-06-04T06:00:00.000000,0.980001,1.190001,0.39,0.52,0.27,0.18,0.64,1.710001,1.940001,3.910002,0.17,0.17,16.28001,0.850001,13.720009,2.990002,5.160003,5.680004,0.005,2.940002,0.28,0.6,4.330003,0.27,0.810001,4.030003,0.28,0.34,3.240002,0.005,0.22,0.820001,1.100001,8.400005,13.970009,0.32,4.790003,0.15,0.61,45.190085,149.45015
2005-06-05T03:00:00.000000,1.050001,1.680001,0.61,0.42,0.6,0.28,0.58,4.200003,1.630001,4.080003,0.22,0.37,22.750014,1.050001,11.130007,6.090004,8.180005,0.6,0.005,2.810002,0.005,1.190001,8.510005,0.47,0.950001,20.240013,0.45,0.45,4.800003,0.31,0.37,0.37,1.090001,12.890008,3.810002,0.920001,5.390003,0.17,0.005,32.797168,163.52225
2005-06-05T06:00:00.000000,0.960001,1.690001,0.57,0.31,0.4,0.21,0.45,2.250001,1.530001,2.350001,0.005,0.27,10.010006,0.970001,3.470002,3.680002,6.800004,5.810004,0.005,3.010002,0.005,1.050001,7.820005,0.32,0.71,1.800001,0.31,0.34,3.830002,0.25,0.25,0.49,1.120001,8.170005,2.700002,0.59,5.290003,0.005,0.48,41.2349,121.51495
2005-06-06T03:00:00.000000,0.930001,2.080001,0.65,0.840001,0.36,0.27,0.66,2.620002,1.650001,1.540001,0.005,0.42,6.840004,0.67,2.230001,1.860001,8.610005,0.74,0.005,2.440002,0.005,1.050001,7.070004,0.26,0.850001,11.780007,0.55,0.66,4.090003,0.005,0.005,0.26,0.970001,5.960004,1.290001,0.29,3.860002,0.41,0.870001,72.866203,148.52125
2005-06-06T06:00:00.000000,1.070001,1.960001,0.64,0.56,0.38,0.28,0.910001,1.240001,2.320001,2.190001,0.005,0.22,6.220004,1.030001,3.710002,1.900001,5.590003,7.340005,0.005,3.060002,0.005,1.130001,4.470003,0.22,0.950001,1.800001,0.26,0.45,3.130002,0.005,0.005,0.69,1.130001,7.540005,1.660001,0.36,5.420003,0.38,0.7,25.643806,96.57885
