date,124-trimethylbenzene,224-trimethylpentane,234-trimethylpentane,23-dimethylbutane,23-dimethylpentane,2-methylheptane,3-methylhexane,3-methylpentane,acetylene,benzene,cis-2-butene,cis-2-pentene,ethane,ethylbenzene,ethylene,isobutane,isopentane,isoprene,isopropylbenzene,m_p_xylene,m-diethylbenzene,m-ethyltoluene,n-butane,n-decane,n-heptane,n-hexane,n-nonane,n-octane,n-pentane,n-propylbenzene,n-undecane,o-ethyltoluene,o-xylene,propane,propylene,styrene,toluene,trans-2-butene,trans-2-pentene,unidentified,tnmoc
2005-06-01T06:00:00.000000,0.0795,0.234,0.069,0.087,0.0345,0.0555,0.0675,0.369,0.309,0.297,0.008333,0.0345,1.036501,0.0645,1.776001,3.993002,0.823501,0.18,0.008333,0.1905,0.008333,0.0615,0.6585,0.0405,0.0975,2.682002,0.0615,0.06,0.3945,0.008333,0.042,0.008333,0.153,2.664002,2.880002,0.0585,0.4935,0.008333,0.21,15.866408,667.2516
2005-06-02T03:00:00.000000,0.4095,0.6975,0.3825,0.216,0.132,0.114,0.276,0.552,0.393,0.534,0.2295,0.1725,2.118001,0.2475,0.879001,1.204501,2.308501,0.3555,0.036,0.877501,0.0585,0.33,1.576501,0.105,0.2445,0.936001,0.0855,0.12,1.027501,0.075,0.102,0.1095,0.324,2.155501,0.930001,0.1125,1.813501,0.3615,0.333,59.822802,1090.1828
2005-06-02T06:00:00.000000,0.1935,0.699,0.1905,0.3105,0.1455,0.0825,0.222,0.582,0.3735,0.501,0.06,0.105,2.359501,0.138,0.585,1.242001,3.663002,0.501,0.008333,0.4635,0.03,0.1305,4.072503,0.0645,0.216,0.843001,0.0585,0.111,1.695001,0.042,0.06,0.0615,0.18,2.953502,0.6315,0.0645,0.918001,0.0795,0.195,11.589198,754.694
2005-06-03T03:00:00.000000,0.6255,1.018501,0.327,0.12,0.1545,0.1185,0.318,0.741,0.6735,0.810001,0.0465,0.1425,2.985002,0.426,1.932001,1.572001,3.099002,1.084501,0.069,1.363501,0.069,0.582,2.184001,0.159,0.2865,0.892501,0.1425,0.114,1.701001,0.1365,0.1305,0.1995,0.5265,2.388001,0.552,0.2865,2.514002,0.042,0.2775,38.617111,1130.5374
2005-06-04T03:00:00.000000,0.237,0.3825,0.1215,0.15,0.081,0.057,0.162,0.3165,0.312,0.438,0.008333,0.054,3.034502,0.192,0.942001,1.306501,1.656001,0.066,0.008333,0.6405,0.008333,0.177,1.503001,0.0645,0.1845,0.447,0.0885,0.093,0.916501,0.039,0.0585,0.0915,0.24,2.124001,0.381,0.0885,1.123501,0.008333,0.141,15.276988,599.8962
2005-06-04T06:00:00.000000,0.147,0.1785,0.0585,0.078,0.0405,0.027,0.096,0.2565,0.291,0.5865,0.0255,0.0255,2.442002,0.1275,2.058001,0.4485,0.774,0.852001,0.008333,0.441,0.042,0.09,0.6495,0.0405,0.1215,0.6045,0.042,0.051,0.486,0.008333,0.033,0.123,0.165,1.260001,2.095501,0.048,0.7185,0.0225,0.0915,22.595042,597.8006
2005-06-05T03:00:00.000000,0.1575,0.252,0.0915,0.063,0.09,0.042,0.087,0.63,0.2445,0.612,0.033,0.0555,3.412502,0.1575,1.669501,0.913501,1.227001,0.09,0.008333,0.4215,0.008333,0.1785,1.276501,0.0705,0.1425,3.036002,0.0675,0.0675,0.72,0.0465,0.0555,0.0555,0.1635,1.933501,0.5715,0.138,0.808501,0.0255,0.008333,16.398584,654.089
2005-06-05T06:00:00.000000,0.144,0.2535,0.0855,0.0465,0.06,0.0315,0.0675,0.3375,0.2295,0.3525,0.008333,0.0405,1.501501,0.1455,0.5205,0.552,1.020001,0.871501,0.008333,0.4515,0.008333,0.1575,1.173001,0.048,0.1065,0.27,0.0465,0.051,0.5745,0.0375,0.0375,0.0735,0.168,1.225501,0.405,0.0885,0.7935,0.008333,0.072,20.61745,486.0598
2005-06-06T03:00:00.000000,0.1395,0.312,0.0975,0.126,0.054,0.0405,0.099,0.393,0.2475,0.231,0.008333,0.063,1.026001,0.1005,0.3345,0.279,1.291501,0.111,0.008333,0.366,0.008333,0.1575,1.060501,0.039,0.1275,1.767001,0.0825,0.099,0.6135,0.008333,0.008333,0.039,0.1455,0.894001,0.1935,0.0435,0.579,0.0615,0.1305,36.433101,594.085
2005-06-06T06:00:00.000000,0.1605,0.294,0.096,0.084,0.057,0.042,0.1365,0.186,0.348,0.3285,0.008333,0.033,0.933001,0.1545,0.5565,0.285,0.838501,1.101001,0.008333,0.459,0.008333,0.1695,0.6705,0.033,0.1425,0.27,0.039,0.0675,0.4695,0.008333,0.008333,0.1035,0.1695,1.131001,0.249,0.054,0.813001,0.057,0.105,12.821903,386.3154
