date,cadmium,copper,iron,manganese,nickel,lead,selenium,zinc,sulfate,total_nitrate,organic_carbon,elemental_carbon,pm2.5
2001-06-22T00:00:00.000000,0.001448,0.000827,0.0089,0.000287,0.00015,0.000923,0.001939,0.009416,0.162969,1.842136,2.639057,1.150572,5.547518
2001-06-22T01:00:00.000000,0.000969,0.000917,0.033918,0.000637,0.001159,0.001309,0.001849,0.010445,0.179818,1.842136,2.639057,1.150572,5.83773
2001-06-22T02:00:00.000000,0.000789,0.000867,0.01264,0.000457,0.001039,0.001159,0.002029,0.007532,0.211071,1.842136,2.639057,1.150572,5.547518
2001-06-22T03:00:00.000000,0.000789,0.000937,0.052308,0.001489,0.001029,0.002766,0.001849,0.01094,2.525729,1.842136,2.639057,1.150572,5.641198
2001-06-22T04:00:00.000000,0.000669,0.000907,0.012047,0.001069,0.00098,0.002497,0.001759,0.007671,2.525729,1.842136,2.639057,1.150572,5.566052
2001-06-22T05:00:00.000000,0.000879,0.000587,0.004968,0.000257,0.00064,0.000983,0.00125,0.00449,2.525729,1.842136,2.639057,1.150572,5.001258
2001-06-22T06:00:00.000000,0.000519,0.000657,0.005714,0.000197,0.00079,0.000733,0.00152,0.003514,2.525729,1.842136,2.639057,1.150572,4.908233
2001-06-22T07:00:00.000000,0.000969,0.000577,0.004759,0.000207,0.00077,0.000683,0.00146,0.003155,0.311154,1.842136,2.639057,1.150572,4.815431
2001-06-22T08:00:00.000000,0.000549,0.000607,0.005266,0.000187,0.00077,0.000603,0.002059,0.003344,0.272315,1.842136,2.639057,1.150572,5.001258
2001-06-22T11:00:00.000000,0.000429,0.000587,0.00449,0.000157,0.00069,0.000583,0.00101,0.003285,0.358374,1.842136,2.639057,1.150572,5.040841
2001-06-22T12:00:00.000000,0.000459,0.000567,0.004818,0.000177,0.00072,0.000713,0.00104,0.003055,0.425268,1.842136,2.639057,1.150572,5.268889
2001-06-22T13:00:00.000000,0.000459,0.000567,0.004789,0.000177,0.00074,0.000693,0.0011,0.003295,0.457425,1.842136,2.639057,1.150572,5.218191
2001-06-22T14:00:00.000000,0.001028,0.000892,0.005027,0.000237,0.00015,0.000553,0.00146,0.003225,0.444686,1.842136,2.639057,1.150572,5.150977
2001-06-22T15:00:00.000000,0.000399,0.000547,0.005475,0.000167,0.00068,0.000483,0.00116,0.003404,0.416075,1.842136,2.639057,1.150572,5.157905
2001-06-22T16:00:00.000000,0.000639,0.000567,0.003384,0.000187,0.00073,0.000453,0.00119,0.003484,0.335043,1.842136,0.498955,0.348542,5.150977
2001-06-22T17:00:00.000000,0.000489,0.000567,0.007948,0.000217,0.00083,0.000633,0.0014,0.003075,0.297137,1.842136,0.629675,0.474369,5.357529
2001-06-22T18:00:00.000000,0.000669,0.000667,0.005147,0.000237,0.00091,0.001059,0.0014,0.003364,0.3257,1.842136,0.602675,0.348542,5.523858
2001-06-22T19:00:00.000000,0.001238,0.000647,0.007264,0.000267,0.00095,0.000773,0.002328,0.003324,0.398105,1.842136,0.67651,0.474369,5.653892
2001-06-22T20:00:00.000000,0.000609,0.000907,0.008633,0.000267,0.001059,0.000643,0.00143,0.004191,0.432432,1.842136,0.608134,0.436318,5.610936
2001-06-22T21:00:00.000000,0.000759,0.000657,0.006519,0.000247,0.001099,0.000623,0.001789,0.003424,0.399447,1.842136,0.640274,0.474369,5.575191
2001-06-22T22:00:00.000000,0.000849,0.000597,0.005803,0.000207,0.00094,0.000823,0.00131,0.003992,0.348542,1.842136,0.708036,0.348542,5.983936
2001-06-22T23:00:00.000000,0.000849,0.000667,0.005684,0.000247,0.001069,0.000693,0.002149,0.003384,0.310422,1.842136,1.098612,0.474369,6.672033
2001-06-23T00:00:00.000000,0.0001,0.000707,0.005445,0.000197,0.00099,0.000703,0.001789,0.003115,0.298622,1.842136,1.327075,0.442761,7.034388
2001-06-23T01:00:00.000000,0.001298,0.000637,0.004131,0.000187,0.00015,0.000563,0.00137,0.003225,0.29788,1.842136,1.300192,0.474369,6.836259
2001-06-23T02:00:00.000000,0.000639,0.000687,0.004699,0.000257,0.001019,0.000653,0.0017,0.003225,0.294161,1.842136,1.286474,0.449163,6.886532
2001-06-23T03:00:00.000000,0.001058,0.000677,0.004848,0.000247,0.001029,0.000833,0.00143,0.003753,0.299364,1.842136,1.642873,0.486738,7.158514
2001-06-23T04:00:00.000000,0.000519,0.000892,0.004251,0.000197,0.0008,0.001379,0.00125,0.003813,0.279146,1.842136,0.618962,0.449163,5.615315
2001-06-23T05:00:00.000000,0.000759,0.000892,0.005206,0.000187,0.00082,0.002108,0.00116,0.003544,0.261595,1.842136,0.591668,0.461845,5.317139
2001-06-23T06:00:00.000000,0.000459,0.000567,0.00443,0.000187,0.00076,0.002766,0.00113,0.003584,0.392042,1.842136,0.534737,0.348542,5.624018
2001-06-23T07:00:00.000000,0.000339,0.000527,0.004012,0.000137,0.00049,0.002467,0.00113,0.003504,0.485508,1.842136,0.5579,0.348542,5.459586
2001-06-23T08:00:00.000000,0.000669,0.000567,0.004938,0.000167,0.00065,0.001818,0.000921,0.003464,0.522359,1.842136,0.517006,0.348542,5.504518
